time,latitude,longitude,elevation,heart_rate,cadence,lat_prev,lon_prev,distance_segment_m,distance_cumulative_km,time_delta_s,speed_mps,pace_min_per_km,pace_sec_km,pace_min_per_mile,dist,dt,planning_id
2025-04-25 20:17:48+00:00,34.607066,-98.424266,341.6,79,0,,,0.0,0.0,0.0,,,,,0.0,0.0,2025w17-Fri
2025-04-25 20:17:49+00:00,34.607066,-98.424266,341.6,80,0,34.607066,-98.424266,0.0,0.0,1.0,0.0,,,,0.0,1.0,2025w17-Fri
2025-04-25 20:17:50+00:00,34.607066,-98.424266,341.6,82,0,34.607066,-98.424266,0.0,0.0,1.0,0.0,,,,0.0,1.0,2025w17-Fri
2025-04-25 20:17:51+00:00,34.607066,-98.424266,341.6,85,0,34.607066,-98.424266,0.0,0.0,1.0,0.0,,,,0.0,1.0,2025w17-Fri
2025-04-25 20:17:52+00:00,34.607066,-98.424266,341.6,89,0,34.607066,-98.424266,0.0,0.0,1.0,0.0,,,,0.0,1.0,2025w17-Fri
2025-04-25 20:17:53+00:00,34.607066,-98.424266,341.6,91,0,34.607066,-98.424266,0.0,0.0,1.0,0.0,,,,0.0,1.0,2025w17-Fri
2025-04-25 20:17:54+00:00,34.607066,-98.424266,341.6,94,78,34.607066,-98.424266,0.0,0.0,1.0,0.0,,,,0.0,1.0,2025w17-Fri
2025-04-25 20:17:55+00:00,34.607066,-98.424266,341.6,94,79,34.607066,-98.424266,0.0,0.0,1.0,0.0,,,,0.0,1.0,2025w17-Fri
2025-04-25 20:17:56+00:00,34.607066,-98.424266,341.6,96,80,34.607066,-98.424266,0.0,0.0,1.0,0.0,,,,0.0,1.0,2025w17-Fri
2025-04-25 20:17:57+00:00,34.607066,-98.424266,341.6,98,80,34.607066,-98.424266,0.0,0.0,1.0,0.0,,,,0.0,1.0,2025w17-Fri
2025-04-25 20:17:58+00:00,34.607066,-98.424266,341.6,100,80,34.607066,-98.424266,0.0,0.0,1.0,0.0,,,,0.0,1.0,2025w17-Fri
2025-04-25 20:17:59+00:00,34.607066,-98.424266,341.6,101,80,34.607066,-98.424266,0.0,0.0,1.0,0.0,,,,0.0,1.0,2025w17-Fri
2025-04-25 20:18:00+00:00,34.607066,-98.424266,341.6,102,80,34.607066,-98.424266,0.0,0.0,1.0,0.0,,,,0.0,1.0,2025w17-Fri
2025-04-25 20:18:01+00:00,34.607066,-98.424266,341.6,103,81,34.607066,-98.424266,0.0,0.0,1.0,0.0,,,,0.0,1.0,2025w17-Fri
2025-04-25 20:18:02+00:00,34.607066,-98.424266,341.6,104,81,34.607066,-98.424266,0.0,0.0,1.0,0.0,,,,0.0,1.0,2025w17-Fri
2025-04-25 20:18:03+00:00,34.607066,-98.424266,341.6,104,82,34.607066,-98.424266,0.0,0.0,1.0,0.0,,,,0.0,1.0,2025w17-Fri
2025-04-25 20:18:04+00:00,34.607066,-98.424266,341.6,105,83,34.607066,-98.424266,0.0,0.0,1.0,0.0,,,,0.0,1.0,2025w17-Fri
2025-04-25 20:18:05+00:00,34.607066,-98.424266,341.6,106,83,34.607066,-98.424266,0.0,0.0,1.0,0.0,,,,0.0,1.0,2025w17-Fri
2025-04-25 20:18:06+00:00,34.607066,-98.424266,341.6,108,83,34.607066,-98.424266,0.0,0.0,1.0,0.0,,,,0.0,1.0,2025w17-Fri
2025-04-25 20:18:07+00:00,34.607066,-98.424266,341.6,110,83,34.607066,-98.424266,0.0,0.0,1.0,0.0,,,,0.0,1.0,2025w17-Fri
2025-04-25 20:18:08+00:00,34.607066,-98.424266,341.6,110,83,34.607066,-98.424266,0.0,0.0,1.0,0.0,,,,0.0,1.0,2025w17-Fri
2025-04-25 20:18:09+00:00,34.607066,-98.424266,341.6,112,83,34.607066,-98.424266,0.0,0.0,1.0,0.0,,,,0.0,1.0,2025w17-Fri
