time,latitude,longitude,ele,hr,cadence,power,dt,dist,speed_mps,speed_mps_smooth,pace_sec_km,lat_prev,lon_prev,distance_segment_m,time_prev,time_delta_s,distance_cumulative_km,pace_min_per_km,heart_rate,is_walk,planning_id,zone_hr,zone_pace,zone_effective
2025-05-01 16:51:43+00:00,34.607412,-98.431249,348.5,122,140,,1.0,2.240786117136536,2.240786117136536,2.364665184558729,422.89285034092904,34.607432,-98.431252,2.240786117136536,2025-05-01 16:51:42+00:00,1.0,0.815896185276451,7.437880783239635,122,False,2025w18-Thu,Z1 (Recovery),Z1 (Recovery),Z1 (Recovery)
2025-05-01 16:51:44+00:00,34.60739,-98.431245,348.5,122,146,,1.0,2.473531806562288,2.473531806562288,2.301781985645782,434.4460101938988,34.607412,-98.431249,2.473531806562288,2025-05-01 16:51:43+00:00,1.0,0.8183697170830132,6.738017257665007,122,False,2025w18-Thu,Z1 (Recovery),Z1 (Recovery),Z1 (Recovery)
2025-05-01 16:51:45+00:00,34.607371,-98.431241,348.5,124,152,,1.0,2.144188686631643,2.144188686631643,2.208088561361417,452.8803860038299,34.60739,-98.431245,2.144188686631643,2025-05-01 16:51:44+00:00,1.0,0.8205139057696449,7.7729633142417685,124,False,2025w18-Thu,Z1 (Recovery),Z1 (Recovery),Z1 (Recovery)
2025-05-01 16:51:46+00:00,34.607352,-98.431236,348.6,125,154,,1.0,2.16169594823574,2.16169594823574,2.2283832557980303,448.7558400908372,34.607371,-98.431241,2.16169594823574,2025-05-01 16:51:45+00:00,1.0,0.8226756017178807,7.710011213002671,125,False,2025w18-Thu,Z1 (Recovery),Z1 (Recovery),Z1 (Recovery)
2025-05-01 16:51:47+00:00,34.607334,-98.431233,348.6,126,152,,1.0,2.020255497684582,2.020255497684582,2.1818341918432713,458.3299701409361,34.607352,-98.431236,2.020255497684582,2025-05-01 16:51:46+00:00,1.0,0.8246958572155653,8.249798116674713,126,False,2025w18-Thu,Z1 (Recovery),Z1 (Recovery),Z1 (Recovery)
2025-05-01 16:51:48+00:00,34.607313,-98.431231,348.7,128,150,,1.0,2.3422597302722457,2.3422597302722457,2.177120641089368,459.3222723292123,34.607334,-98.431233,2.3422597302722457,2025-05-01 16:51:47+00:00,1.0,0.8270381169458375,7.115649808000923,128,False,2025w18-Thu,Z1 (Recovery),Z1 (Recovery),Z1 (Recovery)
2025-05-01 16:51:49+00:00,34.607293,-98.431228,348.7,130,150,,1.0,2.240786164649366,2.240786164649366,2.189938232588209,456.6338836041673,34.607313,-98.431231,2.240786164649366,2025-05-01 16:51:48+00:00,1.0,0.8292789031104869,7.437880625529465,130,False,2025w18-Thu,Z1 (Recovery),Z1 (Recovery),Z1 (Recovery)
2025-05-01 16:51:50+00:00,34.607274,-98.431226,348.7,133,150,,1.0,2.1206209010160286,2.1206209010160286,2.1417114562372945,466.9163052229587,34.607293,-98.431228,2.1206209010160286,2025-05-01 16:51:49+00:00,1.0,0.831399524011503,7.859349114221535,133,False,2025w18-Thu,Z1 (Recovery),Z1 (Recovery),Z1 (Recovery)
2025-05-01 16:51:51+00:00,34.607254,-98.431225,348.8,134,148,,1.0,2.225783993485147,2.225783993485147,2.0309621502855126,492.3774674281448,34.607274,-98.431226,2.225783993485147,2025-05-01 16:51:50+00:00,1.0,0.8336253080049881,7.488013234340486,134,False,2025w18-Thu,Z1 (Recovery),Z1 (Recovery),Z1 (Recovery)
2025-05-01 16:51:52+00:00,34.607238,-98.431225,348.8,136,148,,1.0,1.7791212829906133,1.7791212829906133,1.9390997869720543,515.7032179151138,34.607254,-98.431225,1.7791212829906133,2025-05-01 16:51:51+00:00,1.0,0.8354044292879788,9.367939195232443,136,False,2025w18-Thu,Z1 (Recovery),Z1 (Recovery),Z1 (Recovery)
