Cycle start time,Cycle end time,Cycle timezone,Question text,Answered yes,Notes
2025-05-04 01:32:55,2025-05-05 04:48:36,UTC-05:00,Have any alcoholic drinks?,false,
2025-05-04 01:32:55,2025-05-05 04:48:36,UTC-05:00,See artificial light upon waking up?,false,
2025-05-04 01:32:55,2025-05-05 04:48:36,UTC-05:00,Take creatine?,false,
2025-05-04 01:32:55,2025-05-05 04:48:36,UTC-05:00,Hydrated sufficiently?,false,
2025-05-04 01:32:55,2025-05-05 04:48:36,UTC-05:00,Take an ice bath?,false,
2025-05-04 01:32:55,2025-05-05 04:48:36,UTC-05:00,Meditate? ,true,
2025-05-04 01:32:55,2025-05-05 04:48:36,UTC-05:00,Consumed protein?,false,
2025-04-28 04:16:21,2025-04-29 03:46:14,UTC-05:00,Have any alcoholic drinks?,false,
2025-04-28 04:16:21,2025-04-29 03:46:14,UTC-05:00,See artificial light upon waking up?,false,
2025-04-28 04:16:21,2025-04-29 03:46:14,UTC-05:00,Take creatine?,false,
2025-04-28 04:16:21,2025-04-29 03:46:14,UTC-05:00,Hydrated sufficiently?,false,
2025-04-28 04:16:21,2025-04-29 03:46:14,UTC-05:00,Take an ice bath?,false,
2025-04-28 04:16:21,2025-04-29 03:46:14,UTC-05:00,Meditate? ,true,
2025-04-28 04:16:21,2025-04-29 03:46:14,UTC-05:00,Consumed protein?,false,
2023-10-20 20:36:24,2023-10-21 19:58:34,UTC-05:00,See artificial light upon waking up?,false,
2023-10-20 20:36:24,2023-10-21 19:58:34,UTC-05:00,Take creatine?,false,
2023-10-20 20:36:24,2023-10-21 19:58:34,UTC-05:00,Take an ice bath?,false,
2023-10-20 20:36:24,2023-10-21 19:58:34,UTC-05:00,Meditate? ,false,
2023-01-28 18:21:33,2023-01-29 17:44:56,UTC-06:00,See artificial light upon waking up?,false,
2023-01-28 18:21:33,2023-01-29 17:44:56,UTC-06:00,Take creatine?,true,
2023-01-28 18:21:33,2023-01-29 17:44:56,UTC-06:00,Take an ice bath?,false,
2023-01-28 18:21:33,2023-01-29 17:44:56,UTC-06:00,Meditate? ,true,
2023-01-23 22:36:04,2023-01-24 21:56:10,UTC-06:00,See artificial light upon waking up?,false,
2023-01-23 22:36:04,2023-01-24 21:56:10,UTC-06:00,Take creatine?,true,
2023-01-23 22:36:04,2023-01-24 21:56:10,UTC-06:00,Take an ice bath?,false,
2023-01-23 22:36:04,2023-01-24 21:56:10,UTC-06:00,Meditate? ,true,
2023-01-17 22:07:20,2023-01-18 17:37:07,UTC-06:00,See artificial light upon waking up?,true,
2023-01-17 22:07:20,2023-01-18 17:37:07,UTC-06:00,Take creatine?,true,
2023-01-17 22:07:20,2023-01-18 17:37:07,UTC-06:00,Take an ice bath?,false,
2023-01-17 22:07:20,2023-01-18 17:37:07,UTC-06:00,Meditate? ,true,
2023-01-15 22:04:07,2023-01-16 22:22:05,UTC-06:00,See artificial light upon waking up?,true,
2023-01-15 22:04:07,2023-01-16 22:22:05,UTC-06:00,Take creatine?,true,
2023-01-15 22:04:07,2023-01-16 22:22:05,UTC-06:00,Take an ice bath?,false,
2023-01-15 22:04:07,2023-01-16 22:22:05,UTC-06:00,Meditate? ,true,
2023-01-12 22:03:04,2023-01-13 21:06:44,UTC-06:00,Have any alcoholic drinks?,false,
2023-01-12 22:03:04,2023-01-13 21:06:44,UTC-06:00,Took an anti-inflammatory drug (NSAIDs),false,
2023-01-12 22:03:04,2023-01-13 21:06:44,UTC-06:00,See artificial light upon waking up?,false,
2023-01-12 22:03:04,2023-01-13 21:06:44,UTC-06:00,Take blood pressure medication?,false,
2023-01-12 22:03:04,2023-01-13 21:06:44,UTC-06:00,Use breathwork?,false,
2023-01-12 22:03:04,2023-01-13 21:06:44,UTC-06:00,Consumed carbohydrates,false,
2023-01-12 22:03:04,2023-01-13 21:06:44,UTC-06:00,Caring for the health of another,false,
2023-01-12 22:03:04,2023-01-13 21:06:44,UTC-06:00,Use CBD oil in any form?,false,
2023-01-12 22:03:04,2023-01-13 21:06:44,UTC-06:00,Experiencing COVID-19 symptoms,false,
2023-01-12 22:03:04,2023-01-13 21:06:44,UTC-06:00,Take creatine?,true,
2023-01-12 22:03:04,2023-01-13 21:06:44,UTC-06:00,Connected with family and/or friends?,false,
2023-01-12 22:03:04,2023-01-13 21:06:44,UTC-06:00,Felt recovered?,true,
2023-01-12 22:03:04,2023-01-13 21:06:44,UTC-06:00,Take an ice bath?,false,
2023-01-12 22:03:04,2023-01-13 21:06:44,UTC-06:00,Meditate? ,true,
2023-01-12 22:03:04,2023-01-13 21:06:44,UTC-06:00,Take a multivitamin?,false,
2022-11-05 03:48:51,2022-11-06 02:28:39,UTC-05:00,Have any alcoholic drinks?,false,
2022-11-05 03:48:51,2022-11-06 02:28:39,UTC-05:00,Use breathwork?,false,
2022-11-05 03:48:51,2022-11-06 02:28:39,UTC-05:00,Take creatine?,false,
2022-11-05 03:48:51,2022-11-06 02:28:39,UTC-05:00,Felt recovered?,false,
2022-11-05 03:48:51,2022-11-06 02:28:39,UTC-05:00,Take an ice bath?,false,
2022-11-05 03:48:51,2022-11-06 02:28:39,UTC-05:00,Meditate? ,false,
2022-11-05 03:48:51,2022-11-06 02:28:39,UTC-05:00,Take a multivitamin?,false,
2022-06-05 01:30:10,2022-06-05 23:35:10,UTC-05:00,Have any alcoholic drinks?,false,
2022-06-05 01:30:10,2022-06-05 23:35:10,UTC-05:00,Use breathwork?,false,
2022-06-05 01:30:10,2022-06-05 23:35:10,UTC-05:00,Take creatine?,true,
2022-06-05 01:30:10,2022-06-05 23:35:10,UTC-05:00,Felt recovered?,true,
2022-06-05 01:30:10,2022-06-05 23:35:10,UTC-05:00,Take an ice bath?,false,
2022-06-05 01:30:10,2022-06-05 23:35:10,UTC-05:00,Meditate? ,false,
2022-06-05 01:30:10,2022-06-05 23:35:10,UTC-05:00,Take a multivitamin?,true,
2022-06-03 23:22:45,2022-06-05 01:30:10,UTC-05:00,Take a multivitamin?,false,
2022-06-03 23:22:45,2022-06-05 01:30:10,UTC-05:00,Meditate? ,true,
2022-06-03 23:22:45,2022-06-05 01:30:10,UTC-05:00,Take an ice bath?,false,
2022-06-03 23:22:45,2022-06-05 01:30:10,UTC-05:00,Felt recovered?,true,
2022-06-03 23:22:45,2022-06-05 01:30:10,UTC-05:00,Take creatine?,true,
2022-06-03 23:22:45,2022-06-05 01:30:10,UTC-05:00,Use breathwork?,true,
2022-06-03 23:22:45,2022-06-05 01:30:10,UTC-05:00,Have any alcoholic drinks?,false,
2022-06-03 00:34:44,2022-06-03 23:22:45,UTC-05:00,Have any alcoholic drinks?,false,
2022-06-03 00:34:44,2022-06-03 23:22:45,UTC-05:00,Use breathwork?,false,
2022-06-03 00:34:44,2022-06-03 23:22:45,UTC-05:00,Take creatine?,true,
2022-06-03 00:34:44,2022-06-03 23:22:45,UTC-05:00,Felt recovered?,true,
2022-06-03 00:34:44,2022-06-03 23:22:45,UTC-05:00,Take an ice bath?,false,
2022-06-03 00:34:44,2022-06-03 23:22:45,UTC-05:00,Meditate? ,false,
2022-06-03 00:34:44,2022-06-03 23:22:45,UTC-05:00,Take a multivitamin?,false,
2022-06-01 00:27:39,2022-06-02 01:24:10,UTC-05:00,Take a multivitamin?,false,
2022-06-01 00:27:39,2022-06-02 01:24:10,UTC-05:00,Meditate? ,false,
2022-06-01 00:27:39,2022-06-02 01:24:10,UTC-05:00,Take an ice bath?,false,
2022-06-01 00:27:39,2022-06-02 01:24:10,UTC-05:00,Felt recovered?,false,
2022-06-01 00:27:39,2022-06-02 01:24:10,UTC-05:00,Take creatine?,true,
2022-06-01 00:27:39,2022-06-02 01:24:10,UTC-05:00,Use breathwork?,false,
2022-06-01 00:27:39,2022-06-02 01:24:10,UTC-05:00,Have any alcoholic drinks?,true,
2022-05-30 23:32:04,2022-06-01 00:27:39,UTC-05:00,Have any alcoholic drinks?,false,
2022-05-30 23:32:04,2022-06-01 00:27:39,UTC-05:00,Use breathwork?,false,
2022-05-30 23:32:04,2022-06-01 00:27:39,UTC-05:00,Take creatine?,true,
2022-05-30 23:32:04,2022-06-01 00:27:39,UTC-05:00,Felt recovered?,true,
2022-05-30 23:32:04,2022-06-01 00:27:39,UTC-05:00,Take an ice bath?,false,
2022-05-30 23:32:04,2022-06-01 00:27:39,UTC-05:00,Meditate? ,true,
2022-05-30 23:32:04,2022-06-01 00:27:39,UTC-05:00,Take a multivitamin?,false,
2022-05-24 23:51:02,2022-05-26 00:25:28,UTC-05:00,Have any alcoholic drinks?,false,
2022-05-24 23:51:02,2022-05-26 00:25:28,UTC-05:00,Felt recovered?,false,
2022-05-24 23:51:02,2022-05-26 00:25:28,UTC-05:00,Masturbate?,false,
2022-05-24 23:51:02,2022-05-26 00:25:28,UTC-05:00,Take a multivitamin?,false,
2022-05-23 22:58:51,2022-05-24 23:51:02,UTC-05:00,Have any alcoholic drinks?,false,
2022-05-23 22:58:51,2022-05-24 23:51:02,UTC-05:00,Felt recovered?,true,
2022-05-23 22:58:51,2022-05-24 23:51:02,UTC-05:00,Masturbate?,false,
2022-05-23 22:58:51,2022-05-24 23:51:02,UTC-05:00,Take a multivitamin?,false,
2022-05-23 00:22:33,2022-05-23 22:58:51,UTC-05:00,Have any alcoholic drinks?,false,
2022-05-23 00:22:33,2022-05-23 22:58:51,UTC-05:00,Felt recovered?,false,
2022-05-23 00:22:33,2022-05-23 22:58:51,UTC-05:00,Masturbate?,false,
2022-05-23 00:22:33,2022-05-23 22:58:51,UTC-05:00,Take a multivitamin?,false,
2022-05-10 00:38:44,2022-05-11 00:08:12,UTC-05:00,Have any alcoholic drinks?,false,
2022-05-10 00:38:44,2022-05-11 00:08:12,UTC-05:00,Felt recovered?,false,
2022-05-10 00:38:44,2022-05-11 00:08:12,UTC-05:00,Masturbate?,false,
2022-05-10 00:38:44,2022-05-11 00:08:12,UTC-05:00,Take a multivitamin?,true,
2022-05-07 00:20:37,2022-05-08 00:33:00,UTC-05:00,Have any alcoholic drinks?,false,
2022-05-07 00:20:37,2022-05-08 00:33:00,UTC-05:00,Felt recovered?,true,
2022-05-07 00:20:37,2022-05-08 00:33:00,UTC-05:00,Masturbate?,false,
2022-05-07 00:20:37,2022-05-08 00:33:00,UTC-05:00,Take a multivitamin?,false,
2022-05-04 00:06:37,2022-05-05 01:07:05,UTC-05:00,Have any alcoholic drinks?,false,
2022-05-04 00:06:37,2022-05-05 01:07:05,UTC-05:00,Felt recovered?,true,
2022-05-04 00:06:37,2022-05-05 01:07:05,UTC-05:00,Masturbate?,false,
2022-05-04 00:06:37,2022-05-05 01:07:05,UTC-05:00,Take a multivitamin?,false,
2022-04-25 02:17:06,2022-04-26 01:35:10,UTC-05:00,Felt recovered?,false,
2022-04-25 02:17:06,2022-04-26 01:35:10,UTC-05:00,Masturbate?,true,
2022-04-25 02:17:06,2022-04-26 01:35:10,UTC-05:00,Take a multivitamin?,false,
2022-04-25 02:17:06,2022-04-26 01:35:10,UTC-05:00,Have any alcoholic drinks?,true,
2022-04-10 00:11:05,2022-04-11 00:11:43,UTC-05:00,Felt recovered?,true,
2022-04-10 00:11:05,2022-04-11 00:11:43,UTC-05:00,Masturbate?,true,
2022-04-10 00:11:05,2022-04-11 00:11:43,UTC-05:00,Take a multivitamin?,true,
2022-04-06 22:54:29,2022-04-07 23:28:17,UTC-05:00,Felt recovered?,true,
2022-04-06 22:54:29,2022-04-07 23:28:17,UTC-05:00,Masturbate?,true,
2022-04-06 22:54:29,2022-04-07 23:28:17,UTC-05:00,Take a multivitamin?,false,
2022-04-06 00:17:56,2022-04-06 22:54:29,UTC-05:00,Felt recovered?,true,
2022-04-06 00:17:56,2022-04-06 22:54:29,UTC-05:00,Masturbate?,true,
2022-04-06 00:17:56,2022-04-06 22:54:29,UTC-05:00,Take a multivitamin?,true,
2022-04-01 01:07:00,2022-04-02 03:10:29,UTC-05:00,Felt recovered?,true,smoke
2022-04-01 01:07:00,2022-04-02 03:10:29,UTC-05:00,Masturbate?,true,smoke
2022-04-01 01:07:00,2022-04-02 03:10:29,UTC-05:00,Take a multivitamin?,false,smoke
2022-03-30 00:22:35,2022-03-31 00:35:57,UTC-05:00,Felt recovered?,true,
2022-03-30 00:22:35,2022-03-31 00:35:57,UTC-05:00,Masturbate?,true,
2022-03-30 00:22:35,2022-03-31 00:35:57,UTC-05:00,Take a multivitamin?,false,
2022-03-28 23:57:32,2022-03-30 00:22:35,UTC-05:00,Felt recovered?,true,getting easier to work every day
2022-03-28 23:57:32,2022-03-30 00:22:35,UTC-05:00,Masturbate?,true,getting easier to work every day
2022-03-28 23:57:32,2022-03-30 00:22:35,UTC-05:00,Take a multivitamin?,true,getting easier to work every day
2022-03-28 00:03:28,2022-03-28 23:57:32,UTC-05:00,Felt recovered?,true,"felt like doing more coding but decided to just blow off steam m
by running"
2022-03-28 00:03:28,2022-03-28 23:57:32,UTC-05:00,Masturbate?,true,"felt like doing more coding but decided to just blow off steam m
by running"
2022-03-28 00:03:28,2022-03-28 23:57:32,UTC-05:00,Take a multivitamin?,true,"felt like doing more coding but decided to just blow off steam m
by running"
2022-03-26 00:46:24,2022-03-26 23:42:54,UTC-05:00,Felt recovered?,true,
