Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled,Distance (meters),Altitude gain (meters),Altitude change (meters)
2025-06-05 01:00:36,2025-06-06 05:29:53,UTC-05:00,2025-06-05 13:04:30,2025-06-05 14:08:59,64,Running,15.9,891.0,199,160,12,18,34,27,9,false,,,
2025-06-04 01:44:46,2025-06-05 01:00:36,UTC-05:00,2025-06-04 11:49:30,2025-06-04 12:47:59,58,Running,13.3,682.0,177,149,13,41,44,1,0,false,,,
2025-05-31 04:30:21,2025-06-01 02:28:22,UTC-05:00,2025-05-31 10:45:00,2025-05-31 12:56:59,131,Running,17.8,1560.0,195,151,17,32,28,19,0,false,,,
2025-05-28 02:14:09,2025-05-29 04:49:29,UTC-05:00,2025-05-28 12:22:30,2025-05-28 13:46:29,83,Running,12.8,703.0,187,134,44,31,8,4,0,false,,,
2025-05-27 01:29:52,2025-05-28 02:14:09,UTC-05:00,2025-05-27 12:12:00,2025-05-27 13:08:59,56,Running,12.5,609.0,187,145,27,42,31,0,0,false,,,
2025-05-24 01:00:21,2025-05-25 02:16:53,UTC-05:00,2025-05-24 11:31:30,2025-05-24 14:08:59,157,Running,17.9,1728.0,192,148,28,41,21,8,1,false,,,
2025-05-22 03:35:00,2025-05-23 03:40:21,UTC-05:00,2025-05-22 12:48:00,2025-05-22 14:46:29,118,Running,15.0,1158.0,180,142,29,44,22,0,0,false,,,
2025-05-20 03:30:52,2025-05-21 04:36:57,UTC-05:00,2025-05-20 11:33:00,2025-05-20 12:35:59,62,Running,16.9,898.0,195,164,22,4,15,39,18,false,,,
2025-05-17 01:50:43,2025-05-18 02:59:30,UTC-05:00,2025-05-17 12:04:30,2025-05-17 13:37:29,92,Activity,14.4,873.0,192,140,52,17,11,13,0,false,,,
2025-05-14 23:15:51,2025-05-16 01:40:05,UTC-05:00,2025-05-15 09:21:00,2025-05-15 09:55:29,34,Activity,11.6,401.0,193,151,21,20,34,20,0,false,,,
2025-05-14 01:33:15,2025-05-14 23:15:51,UTC-05:00,2025-05-14 12:52:30,2025-05-14 13:26:59,34,Running,11.2,373.0,187,146,56,11,10,22,0,false,,,
2025-05-12 22:12:28,2025-05-14 01:33:15,UTC-05:00,2025-05-13 13:40:30,2025-05-13 15:16:29,95,Activity,13.9,873.0,189,138,49,21,14,7,0,false,,,
2025-05-10 03:31:29,2025-05-11 03:01:15,UTC-05:00,2025-05-10 15:37:30,2025-05-10 17:59:59,142,Running,16.5,1493.0,182,145,22,61,12,1,0,false,,,
2025-05-08 02:12:32,2025-05-09 01:14:27,UTC-05:00,2025-05-08 15:22:30,2025-05-08 16:38:59,76,Running,13.0,740.0,179,141,24,60,10,0,0,false,,,
2025-05-07 04:01:07,2025-05-08 02:12:32,UTC-05:00,2025-05-07 15:28:30,2025-05-07 16:31:29,62,Running,12.3,633.0,184,143,27,49,20,1,0,false,,,
2025-05-05 04:48:36,2025-05-06 03:49:03,UTC-05:00,2025-05-05 21:28:30,2025-05-05 22:38:59,70,Running,13.1,733.0,188,146,20,54,21,2,0,false,,,
2025-05-03 01:43:27,2025-05-04 01:32:55,UTC-05:00,2025-05-03 12:42:00,2025-05-03 13:59:59,77,Running,13.2,788.0,175,145,26,57,17,0,0,false,,,
2025-05-01 01:25:33,2025-05-02 03:14:15,UTC-05:00,2025-05-01 11:51:00,2025-05-01 12:17:20,26,Running,8.0,264.0,164,145,18,73,7,0,0,false,,,
