timestamp	distance_cumulative_km	pace_min_per_km	cadence	heart_rate
2025-04-21 00:00:13+00:00	0.00	28.93	0	84
2025-04-21 00:00:14+00:00	0.00	28.93	0	84
2025-04-21 00:00:15+00:00	0.00	31.89	0	84
2025-04-21 00:00:16+00:00	0.00	28.93	0	82
2025-04-21 00:00:17+00:00	0.00	31.89	0	81
2025-04-21 00:00:18+00:00	0.00	25.04	0	80
2025-04-21 00:00:19+00:00	0.00	31.89	0	80
2025-04-21 00:00:21+00:00	0.00	57.86	0	80
2025-04-21 00:00:22+00:00	0.00	31.89	0	80
2025-04-21 00:00:23+00:00	0.01	4.08	0	79
2025-04-21 00:00:24+00:00	0.01	4.91	0	80
2025-04-21 00:00:25+00:00	0.02	5.30	0	79
2025-04-21 00:00:26+00:00	0.02	7.41	0	82
2025-04-21 00:00:27+00:00	0.02	4.43	0	80
2025-04-21 00:00:28+00:00	0.02	5.18	0	79
2025-04-21 00:02:25+00:00	0.46	11.69	166	136
2025-04-21 00:02:26+00:00	0.46	11.18	0	132
2025-04-21 00:02:27+00:00	0.46	9.77	0	132
2025-04-21 00:02:28+00:00	0.47	8.13	136	132
2025-04-21 00:02:29+00:00	0.47	5.89	136	133
2025-04-21 00:02:30+00:00	0.47	4.86	136	132
2025-04-21 00:11:04+00:00	2.18	35.84	0	155
2025-04-21 00:11:05+00:00	2.18	32.76	0	153
2025-04-21 00:11:06+00:00	2.18	15.60	0	152
2025-04-21 00:11:07+00:00	2.18	12.10	0	152
2025-04-21 00:11:08+00:00	2.18	7.55	100	153
2025-04-21 00:11:09+00:00	2.18	7.82	100	153
2025-04-21 00:11:10+00:00	2.19	4.99	100	153
2025-04-21 00:18:07+00:00	3.51	35.94	0	157
2025-04-21 00:18:08+00:00	3.51	9.58	102	156
2025-04-21 00:18:09+00:00	3.51	11.25	102	156
2025-04-21 00:21:47+00:00	4.29	9.68	98	192
2025-04-21 00:21:48+00:00	4.29	11.69	98	192
2025-04-21 00:21:51+00:00	4.30	5.24	0	192
2025-04-21 00:21:52+00:00	4.30	4.81	0	192
2025-04-21 00:28:01+00:00	5.48	11.73	96	160
2025-04-21 00:28:02+00:00	5.49	10.12	98	160
2025-04-21 00:28:03+00:00	5.49	16.16	102	158
2025-04-21 00:28:04+00:00	5.49	6.19	104	159
2025-04-21 00:28:05+00:00	5.49	8.28	104	160
2025-04-21 00:28:06+00:00	5.49	6.05	104	159
2025-04-21 00:28:07+00:00	5.50	6.07	104	160
2025-04-21 00:30:38+00:00	5.90	25.44	0	173
2025-04-21 00:30:39+00:00	5.90	17.80	0	172
2025-04-21 00:30:40+00:00	5.90	18.75	0	172
2025-04-21 00:30:41+00:00	5.90	19.45	0	171
2025-04-21 00:30:42+00:00	5.90	18.75	0	171
2025-04-21 00:30:43+00:00	5.90	17.80	0	170
2025-04-21 00:30:44+00:00	5.90	18.75	0	171
2025-04-21 00:40:01+00:00	7.49	19.27	0	155
2025-04-21 00:40:02+00:00	7.49	38.91	0	155
2025-04-21 00:40:03+00:00	7.50	8.71	0	155
2025-04-21 00:40:04+00:00	7.50	8.53	0	155
2025-04-21 00:40:05+00:00	7.50	5.86	0	155
2025-04-21 00:40:06+00:00	7.50	4.41	0	155
2025-04-21 00:40:07+00:00	7.51	4.27	0	155
