timestamp	distance_cumulative_km	pace_min_per_km	cadence	heart_rate
2025-04-25 20:17:48+00:00	0.00		0	79
2025-04-25 20:17:49+00:00	0.00		0	80
2025-04-25 20:17:50+00:00	0.00		0	82
2025-04-25 20:17:51+00:00	0.00		0	85
2025-04-25 20:17:52+00:00	0.00		0	89
2025-04-25 20:17:53+00:00	0.00		0	91
2025-04-25 20:18:37+00:00	0.06	10.05	154	127
2025-04-25 20:19:31+00:00	0.19	10.60	158	128
2025-04-25 20:19:32+00:00	0.20	9.77	158	127
2025-04-25 20:19:33+00:00	0.20	11.10	156	127
2025-04-25 20:19:34+00:00	0.20	12.29	156	127
2025-04-25 20:19:35+00:00	0.20	11.12	156	129
2025-04-25 20:19:36+00:00	0.20	12.22	156	128
2025-04-25 20:19:37+00:00	0.20	43.56	0	130
2025-04-25 20:19:38+00:00	0.20	25.63	0	131
2025-04-25 20:19:39+00:00	0.20	74.94	0	131
2025-04-25 20:19:40+00:00	0.20	115.73	0	130
2025-04-25 20:19:41+00:00	0.20		0	131
2025-04-25 20:19:42+00:00	0.20	69.30	0	130
2025-04-25 20:19:43+00:00	0.20	115.73	0	130
2025-04-25 20:19:44+00:00	0.20	149.89	0	131
2025-04-25 20:19:45+00:00	0.20	149.89	0	130
2025-04-25 20:19:46+00:00	0.20	115.73	0	131
2025-04-25 20:19:47+00:00	0.20	115.73	0	132
2025-04-25 20:19:48+00:00	0.20	182.11	0	131
2025-04-25 20:19:49+00:00	0.20		0	133
2025-04-25 20:19:50+00:00	0.20		0	133
2025-04-25 20:19:51+00:00	0.20		0	133
2025-04-25 20:19:52+00:00	0.20		0	134
2025-04-25 20:19:53+00:00	0.20		0	134
2025-04-25 20:19:54+00:00	0.20		0	136
2025-04-25 20:19:55+00:00	0.20		0	138
2025-04-25 20:19:56+00:00	0.20		0	138
2025-04-25 20:19:57+00:00	0.20		0	139
2025-04-25 20:19:58+00:00	0.20		0	139
2025-04-25 20:19:59+00:00	0.20		0	139
2025-04-25 20:20:00+00:00	0.20		0	139
2025-04-25 20:20:01+00:00	0.20		0	139
2025-04-25 20:20:02+00:00	0.20		0	139
2025-04-25 20:20:03+00:00	0.20		0	139
2025-04-25 20:20:04+00:00	0.20	149.89	0	139
2025-04-25 20:20:05+00:00	0.20		0	139
2025-04-25 20:20:06+00:00	0.20		0	138
2025-04-25 20:20:07+00:00	0.20		0	138
2025-04-25 20:20:08+00:00	0.20	25.63	0	137
2025-04-25 20:20:09+00:00	0.21	4.14	0	136
2025-04-25 20:20:11+00:00	0.22	4.86	0	136
2025-04-25 20:20:12+00:00	0.22	6.37	0	134
2025-04-25 20:20:13+00:00	0.22	7.60	0	134
2025-04-25 20:20:14+00:00	0.22	9.01	0	133
2025-04-25 20:20:15+00:00	0.23	8.27	0	133
2025-04-25 20:20:16+00:00	0.23	8.90	0	135
2025-04-25 20:20:17+00:00	0.23	8.99	0	136
2025-04-25 20:20:18+00:00	0.23	13.30	0	137
2025-04-25 20:20:19+00:00	0.23	16.58	82	136
2025-04-25 20:20:20+00:00	0.23	13.59	82	136
2025-04-25 20:20:21+00:00	0.23	11.53	82	136
2025-04-25 20:20:22+00:00	0.24	12.49	82	135
2025-04-25 20:20:23+00:00	0.24	13.86	82	135
2025-04-25 20:20:24+00:00	0.24	12.23	82	134
2025-04-25 20:20:25+00:00	0.24	16.58	82	133
2025-04-25 20:20:26+00:00	0.24	29.58	82	132
2025-04-25 20:20:27+00:00	0.24	182.11	0	131
2025-04-25 20:20:28+00:00	0.24	149.89	0	129
2025-04-25 20:20:29+00:00	0.24		0	128
2025-04-25 20:20:30+00:00	0.24		0	127
2025-04-25 20:20:31+00:00	0.24	149.89	0	126
2025-04-25 20:20:32+00:00	0.24		0	125
2025-04-25 20:20:33+00:00	0.24	13.59	0	125
2025-04-25 20:20:34+00:00	0.24	12.86	0	125
2025-04-25 20:20:35+00:00	0.24	8.55	0	126
2025-04-25 20:20:36+00:00	0.25	7.08	0	126
2025-04-25 20:25:45+00:00	1.27	11.53	162	197
2025-04-25 20:25:46+00:00	1.27	9.98	162	197
2025-04-25 20:25:47+00:00	1.27	19.38	162	197
2025-04-25 20:25:48+00:00	1.27	12.23	100	196
2025-04-25 20:25:49+00:00	1.27	12.37	100	196
2025-04-25 20:25:50+00:00	1.27	24.09	100	193
2025-04-25 20:25:51+00:00	1.27	69.30	0	190
2025-04-25 20:25:52+00:00	1.27	33.65	0	188
2025-04-25 20:25:53+00:00	1.27	12.29	90	187
2025-04-25 20:25:54+00:00	1.28	6.48	90	185
2025-04-25 20:29:38+00:00	2.05	10.68	164	190
2025-04-25 20:29:39+00:00	2.05	13.77	164	190
2025-04-25 20:29:40+00:00	2.05	13.49	106	190
2025-04-25 20:29:41+00:00	2.05	15.18	106	190
2025-04-25 20:29:42+00:00	2.05	12.96	106	190
2025-04-25 20:29:43+00:00	2.06	11.35	104	189
2025-04-25 20:29:44+00:00	2.06	12.96	104	189
2025-04-25 20:29:45+00:00	2.06	14.01	102	189
2025-04-25 20:29:46+00:00	2.06	15.10	102	189
2025-04-25 20:29:47+00:00	2.06	12.82	102	188
2025-04-25 20:29:48+00:00	2.06	11.35	102	188
2025-04-25 20:29:49+00:00	2.06	9.09	100	188
2025-04-25 20:29:50+00:00	2.07	11.38	100	187
2025-04-25 20:29:51+00:00	2.07	13.12	100	187
2025-04-25 20:29:52+00:00	2.07	13.80	100	186
