segment_id,start_ts,end_ts,dur_s,dist_km,avg_pace_min_km,avg_hr,avg_cad,tag,start_offset_s,end_offset_s,note
1,2025-04-29 19:15:07+00:00,2025-04-29 19:15:27+00:00,20,0.018,19.0,162.9,119.8,mid-session,227,247,pause?
2,2025-04-29 19:15:34+00:00,2025-04-29 19:15:40+00:00,6,0.02,5.1,156.0,136.3,mid-session,254,260,pause?
3,2025-04-29 19:16:24+00:00,2025-04-29 19:16:30+00:00,6,0.016,6.2,161.0,130.3,mid-session,304,310,pause?
4,2025-04-29 19:25:16+00:00,2025-04-29 19:25:22+00:00,6,0.004,22.2,184.8,140.5,mid-session,836,842,pause?
5,2025-04-29 19:29:21+00:00,2025-04-29 19:29:27+00:00,6,0.017,5.9,174.0,116.0,mid-session,1081,1087,pause?
6,2025-04-29 19:32:25+00:00,2025-04-29 19:32:34+00:00,9,0.02,7.5,175.5,138.4,mid-session,1265,1274,pause?
7,2025-04-29 19:33:58+00:00,2025-04-29 19:34:24+00:00,26,0.043,10.1,177.2,109.2,mid-session,1358,1384,pause?
8,2025-04-29 19:35:39+00:00,2025-04-29 19:36:01+00:00,22,0.003,143.4,175.5,139.6,mid-session,1459,1481,pause?
9,2025-04-29 19:42:06+00:00,2025-04-29 19:42:12+00:00,6,0.015,6.7,162.5,248.0,mid-session,1846,1852,pause?
10,2025-04-29 19:43:28+00:00,2025-04-29 19:43:47+00:00,19,0.037,8.5,176.4,114.5,mid-session,1928,1947,pause?
11,2025-04-29 19:47:01+00:00,2025-04-29 19:47:29+00:00,28,0.05,9.3,170.3,116.3,mid-session,2141,2169,
12,2025-04-29 19:47:53+00:00,2025-04-29 19:48:20+00:00,27,0.015,30.6,180.7,114.4,mid-session,2193,2220,pause?
13,2025-04-29 19:52:56+00:00,2025-04-29 19:53:19+00:00,23,0.013,28.7,174.6,123.1,mid-session,2496,2519,pause?
14,2025-04-29 19:53:34+00:00,2025-04-29 19:53:41+00:00,7,0.024,4.8,162.6,138.0,mid-session,2534,2541,pause?
15,2025-04-29 19:54:11+00:00,2025-04-29 19:54:17+00:00,6,0.014,7.4,,162.0,cool-down,2571,2577,
16,2025-04-29 19:55:33+00:00,2025-04-29 19:55:56+00:00,23,0.016,24.7,177.6,117.8,cool-down,2653,2676,
