timestamp	distance_cumulative_km	pace_min_per_km	cadence	heart_rate
2025-04-29 19:11:20+00:00	0.00		0	
2025-04-29 19:11:21+00:00	0.00		0	
2025-04-29 19:13:06+00:00	0.00		0	106.00
2025-04-29 19:13:07+00:00	0.00	9.90	0	
2025-04-29 19:13:08+00:00	0.00	8.96	0	
2025-04-29 19:13:09+00:00	0.01	4.01	0	106.00
2025-04-29 19:13:10+00:00	0.01	17.90	0	107.00
2025-04-29 19:13:11+00:00	0.01	29.98	0	107.00
2025-04-29 19:13:12+00:00	0.01	6.46	102	
2025-04-29 19:13:13+00:00	0.01	6.35	106	
2025-04-29 19:13:14+00:00	0.02	8.13	110	110.00
2025-04-29 19:13:15+00:00	0.02	7.72	110	
2025-04-29 19:13:16+00:00	0.02	7.15	110	
2025-04-29 19:13:17+00:00	0.02	7.15	110	
2025-04-29 19:13:18+00:00	0.03	8.55	110	
2025-04-29 19:13:19+00:00	0.03	8.19	110	
2025-04-29 19:13:20+00:00	0.03	6.90	110	
2025-04-29 19:13:21+00:00	0.03	7.15	112	
2025-04-29 19:13:22+00:00	0.03	5.87	114	
2025-04-29 19:13:23+00:00	0.04	4.32	118	
2025-04-29 19:13:24+00:00	0.04	4.88	122	
2025-04-29 19:13:25+00:00	0.05	4.36	132	108.00
2025-04-29 19:13:26+00:00	0.05	4.20	138	109.00
2025-04-29 19:15:07+00:00	0.34	10.09	156	165.00
2025-04-29 19:15:09+00:00	0.35	10.89	150	166.00
2025-04-29 19:15:10+00:00	0.35	9.59	142	
2025-04-29 19:15:11+00:00	0.35	11.22	136	
2025-04-29 19:15:12+00:00	0.35	11.54	128	
2025-04-29 19:15:13+00:00	0.35	13.10	122	161.00
2025-04-29 19:15:14+00:00	0.35	11.12	122	
2025-04-29 19:15:15+00:00	0.35	23.59	114	
2025-04-29 19:15:16+00:00	0.35	20.60	108	
2025-04-29 19:15:17+00:00	0.36	17.90	104	
2025-04-29 19:15:18+00:00	0.36	16.06	104	
2025-04-29 19:15:19+00:00	0.36	38.58	98	
2025-04-29 19:15:20+00:00	0.36	48.18	98	163.00
2025-04-29 19:15:21+00:00	0.36		92	
2025-04-29 19:15:22+00:00	0.36	182.11	92	165.00
2025-04-29 19:15:23+00:00	0.36	149.89	0	164.00
2025-04-29 19:15:24+00:00	0.36		0	164.00
2025-04-29 19:15:25+00:00	0.36	91.05	0	161.00
2025-04-29 19:15:26+00:00	0.36	19.45	0	
2025-04-29 19:15:27+00:00	0.36	14.01	0	157.00
2025-04-29 19:15:34+00:00	0.38	9.82	144	
2025-04-29 19:15:35+00:00	0.38	10.66	136	
2025-04-29 19:15:36+00:00	0.38	6.69	134	
2025-04-29 19:15:37+00:00	0.39	4.91	134	156.00
2025-04-29 19:15:38+00:00	0.39	4.15	134	156.00
2025-04-29 19:15:39+00:00	0.39	4.18	136	
2025-04-29 19:16:24+00:00	0.52	9.51	140	161.00
2025-04-29 19:16:25+00:00	0.52	8.67	134	161.00
2025-04-29 19:16:26+00:00	0.53	7.43	130	161.00
2025-04-29 19:16:27+00:00	0.53	5.87	126	161.00
2025-04-29 19:16:28+00:00	0.53	5.29	126	160.00
2025-04-29 19:16:29+00:00	0.53	5.27	126	
2025-04-29 19:16:30+00:00	0.54	5.67	130	162.00
2025-04-29 19:22:40+00:00	1.74	9.58	162	
2025-04-29 19:25:16+00:00	2.22	12.10	160	184.00
2025-04-29 19:25:17+00:00	2.22	28.13	150	
2025-04-29 19:25:18+00:00	2.22	43.56	150	185.00
2025-04-29 19:25:19+00:00	2.22	43.56	0	185.00
2025-04-29 19:25:20+00:00	2.22	33.65	0	185.00
2025-04-29 19:25:21+00:00	2.22	17.80	0	185.00
2025-04-29 19:25:22+00:00	2.22	9.77	102	185.00
2025-04-29 19:29:21+00:00	2.95	35.17	90	176.00
