segment_id,start_ts,end_ts,dur_s,dist_km,avg_pace_min_km,avg_hr,avg_cad,tag,start_offset_s,end_offset_s,note
1,2025-05-01 16:55:20+00:00,2025-05-01 16:55:23+00:00,3,0.005,10.6,151.0,149.0,mid-session,755,758,pause?
2,2025-05-01 16:55:59+00:00,2025-05-01 16:56:21+00:00,22,0.038,9.6,146.8,122.6,mid-session,794,816,pause?
3,2025-05-01 16:56:53+00:00,2025-05-01 16:56:58+00:00,5,0.008,10.1,140.8,145.7,mid-session,848,853,pause?
4,2025-05-01 16:59:22+00:00,2025-05-01 16:59:54+00:00,32,0.057,9.3,148.8,120.0,mid-session,997,1029,
5,2025-05-01 17:00:30+00:00,2025-05-01 17:00:50+00:00,20,0.038,8.9,148.4,123.7,mid-session,1065,1085,pause?
6,2025-05-01 17:03:03+00:00,2025-05-01 17:03:28+00:00,25,0.044,9.5,147.6,120.4,mid-session,1218,1243,pause?
7,2025-05-01 17:03:34+00:00,2025-05-01 17:03:39+00:00,5,0.008,10.5,139.5,145.0,mid-session,1249,1254,pause?
8,2025-05-01 17:05:02+00:00,2025-05-01 17:05:27+00:00,25,0.043,9.6,151.5,119.3,mid-session,1337,1362,pause?
9,2025-05-01 17:05:41+00:00,2025-05-01 17:05:43+00:00,2,0.004,9.0,145.0,150.7,mid-session,1376,1378,pause?
10,2025-05-01 17:05:50+00:00,2025-05-01 17:05:58+00:00,8,0.014,9.3,145.1,136.9,mid-session,1385,1393,pause?
11,2025-05-01 17:06:02+00:00,2025-05-01 17:06:09+00:00,7,0.016,7.4,145.6,139.0,mid-session,1397,1404,pause?
12,2025-05-01 17:06:19+00:00,2025-05-01 17:06:22+00:00,3,0.006,8.7,146.5,154.0,mid-session,1414,1417,pause?
13,2025-05-01 17:06:38+00:00,2025-05-01 17:07:10+00:00,32,0.054,9.8,148.5,116.5,mid-session,1433,1465,
14,2025-05-01 17:08:04+00:00,2025-05-01 17:08:07+00:00,3,0.005,9.2,155.8,160.0,mid-session,1519,1522,pause?
15,2025-05-01 17:08:11+00:00,2025-05-01 17:08:14+00:00,3,0.005,9.8,158.0,151.0,mid-session,1526,1529,pause?
16,2025-05-01 17:09:04+00:00,2025-05-01 17:09:43+00:00,39,0.068,9.6,152.7,115.8,mid-session,1579,1618,
17,2025-05-01 17:10:21+00:00,2025-05-01 17:11:04+00:00,43,0.078,9.1,150.9,116.8,mid-session,1656,1699,
18,2025-05-01 17:11:17+00:00,2025-05-01 17:11:19+00:00,2,0.003,11.9,147.0,151.3,mid-session,1712,1714,pause?
19,2025-05-01 17:12:05+00:00,2025-05-01 17:12:38+00:00,33,0.051,10.9,150.7,115.0,mid-session,1760,1793,
20,2025-05-01 17:13:50+00:00,2025-05-01 17:14:44+00:00,54,0.099,9.1,147.8,121.0,mid-session,1865,1919,
21,2025-05-01 17:15:36+00:00,2025-05-01 17:16:25+00:00,49,0.083,9.8,151.4,115.3,mid-session,1971,2020,
22,2025-05-01 17:16:54+00:00,2025-05-01 17:24:21+00:00,447,0.775,9.6,130.5,113.7,cool-down,2049,2496,
