timestamp,distance_cumulative_km,pace_min_per_km,cadence,heart_rate
2025-05-01 16:42:45+00:00,,2.93,102,84
2025-05-01 16:42:46+00:00,0.01,2.93,104,84
2025-05-01 16:42:47+00:00,0.01,3.16,104,84
2025-05-01 16:42:48+00:00,0.02,3.20,104,84
2025-05-01 16:42:49+00:00,0.02,3.47,104,84
2025-05-01 16:42:50+00:00,0.02,4.56,104,83
2025-05-01 16:42:51+00:00,0.03,5.06,104,83
2025-05-01 16:42:52+00:00,0.03,6.03,104,85
2025-05-01 16:42:53+00:00,0.03,5.59,104,84
2025-05-01 16:42:54+00:00,0.04,4.78,104,85
2025-05-01 16:42:55+00:00,0.04,6.28,102,85
2025-05-01 16:42:56+00:00,0.04,7.59,102,86
2025-05-01 16:42:57+00:00,0.04,7.28,102,86
2025-05-01 16:42:58+00:00,0.05,8.61,102,86
2025-05-01 16:42:59+00:00,0.05,9.57,102,87
2025-05-01 16:43:00+00:00,0.05,6.19,104,89
2025-05-01 16:43:01+00:00,0.05,6.48,104,90
2025-05-01 16:43:02+00:00,0.06,7.91,104,91
2025-05-01 16:43:03+00:00,0.06,11.25,104,92
2025-05-01 16:43:04+00:00,0.06,6.72,104,93
2025-05-01 16:43:05+00:00,0.06,4.68,104,94
2025-05-01 16:43:06+00:00,0.06,11.98,104,95
2025-05-01 16:43:07+00:00,0.07,11.55,104,95
2025-05-01 16:43:08+00:00,0.07,10.09,104,96
2025-05-01 16:43:09+00:00,0.07,10.89,104,96
2025-05-01 16:43:10+00:00,0.07,11.80,104,96
2025-05-01 16:43:11+00:00,0.07,10.60,104,96
2025-05-01 16:43:12+00:00,0.07,11.25,104,97
2025-05-01 16:43:13+00:00,0.07,10.89,104,97
2025-05-01 16:43:14+00:00,0.08,9.41,104,97
2025-05-01 16:43:15+00:00,0.08,8.27,104,97
2025-05-01 16:43:16+00:00,0.08,8.27,104,97
2025-05-01 16:43:17+00:00,0.08,9.41,104,97
2025-05-01 16:43:18+00:00,0.08,8.85,104,97
2025-05-01 16:43:19+00:00,0.09,8.96,104,97
2025-05-01 16:43:20+00:00,0.09,17.80,104,97
2025-05-01 16:43:21+00:00,0.09,11.38,104,97
2025-05-01 16:43:22+00:00,0.09,9.51,104,97
2025-05-01 16:43:23+00:00,0.09,9.57,104,98
2025-05-01 16:43:24+00:00,0.09,11.10,104,98
2025-05-01 16:43:25+00:00,0.10,9.58,104,98
2025-05-01 16:43:26+00:00,0.10,12.10,104,98
2025-05-01 16:43:27+00:00,0.10,11.38,104,98
2025-05-01 16:43:28+00:00,0.10,15.14,104,98
2025-05-01 16:43:29+00:00,0.10,11.80,104,98
2025-05-01 16:43:30+00:00,0.10,9.51,104,98
2025-05-01 16:43:31+00:00,0.10,7.91,104,98
