timestamp,distance_cumulative_km,pace_min_per_km,cadence,heart_rate
2025-05-03 17:41:10+00:00,,10.78,116,85
2025-05-03 17:41:11+00:00,0.00,10.78,114,86
2025-05-03 17:41:12+00:00,0.00,12.43,114,87
2025-05-03 17:41:13+00:00,0.00,11.82,114,87
2025-05-03 17:41:14+00:00,0.01,9.15,114,89
2025-05-03 17:41:15+00:00,0.01,12.46,114,90
2025-05-03 17:41:16+00:00,0.01,18.35,112,91
2025-05-03 17:41:17+00:00,0.01,17.50,112,92
2025-05-03 17:41:18+00:00,0.01,12.76,112,94
2025-05-03 17:41:19+00:00,0.01,10.30,112,93
2025-05-03 17:41:20+00:00,0.01,7.30,112,92
2025-05-03 17:41:21+00:00,0.02,6.87,112,93
2025-05-03 17:41:22+00:00,0.02,7.57,112,94
2025-05-03 17:41:23+00:00,0.02,7.57,112,95
2025-05-03 17:41:24+00:00,0.02,7.70,110,96
2025-05-03 17:41:25+00:00,0.02,23.59,110,95
2025-05-03 17:41:26+00:00,0.02,37.47,110,96
2025-05-03 17:41:27+00:00,0.02,60.70,110,97
2025-05-03 17:41:28+00:00,0.03,36.70,110,96
2025-05-03 17:41:29+00:00,0.03,57.86,110,97
2025-05-03 17:41:30+00:00,0.03,15.56,110,97
2025-05-03 17:41:31+00:00,0.03,28.47,110,98
2025-05-03 17:41:32+00:00,0.03,21.33,110,97
2025-05-03 17:41:33+00:00,0.03,12.29,110,98
2025-05-03 17:41:34+00:00,0.03,25.94,110,100
2025-05-03 17:41:35+00:00,0.03,13.49,108,99
2025-05-03 17:41:36+00:00,0.03,22.51,106,100
2025-05-03 17:41:37+00:00,0.03,9.92,114,101
2025-05-03 17:41:38+00:00,0.04,13.12,118,99
2025-05-03 17:41:39+00:00,0.04,8.55,128,101
2025-05-03 17:41:40+00:00,0.04,3.76,134,101
2025-05-03 17:42:54+00:00,0.24,10.92,146,157
2025-05-03 17:42:55+00:00,0.24,13.77,140,157
2025-05-03 17:42:56+00:00,0.25,9.09,134,157
2025-05-03 17:42:57+00:00,0.25,10.47,128,157
2025-05-03 17:42:58+00:00,0.25,12.96,122,156
2025-05-03 17:42:59+00:00,0.25,12.96,118,156
2025-05-03 17:43:00+00:00,0.25,17.70,118,156
2025-05-03 17:43:01+00:00,0.25,12.10,112,156
2025-05-03 17:43:02+00:00,0.25,13.95,108,155
2025-05-03 17:43:03+00:00,0.25,12.59,104,154
2025-05-03 17:43:04+00:00,0.26,13.95,102,154
2025-05-03 17:43:05+00:00,0.26,12.10,102,153
