timestamp,distance_cumulative_km,pace_min_per_km,cadence,heart_rate
2025-05-06 02:26:14+00:00,,38.58,0,92
2025-05-06 02:26:15+00:00,0.00,38.58,0,94
2025-05-06 02:53:30+00:00,2.11,12.90,162,160
2025-05-06 02:53:49+00:00,2.16,9.92,154,155
2025-05-06 02:53:56+00:00,2.17,9.57,150,155
2025-05-06 02:53:58+00:00,2.17,12.14,150,155
2025-05-06 02:54:53+00:00,2.31,10.09,156,158
2025-05-06 02:55:11+00:00,2.35,9.57,154,163
2025-05-06 02:55:12+00:00,2.35,10.03,148,163
2025-05-06 02:55:13+00:00,2.35,11.38,142,163
2025-05-06 02:55:14+00:00,2.35,13.01,136,163
2025-05-06 02:55:15+00:00,2.35,14.01,132,163
2025-05-06 02:55:16+00:00,2.36,11.38,126,162
2025-05-06 02:55:17+00:00,2.36,10.12,122,161
2025-05-06 02:55:18+00:00,2.36,9.57,118,161
2025-05-06 02:55:19+00:00,2.36,9.29,116,160
2025-05-06 02:55:20+00:00,2.36,10.03,116,160
2025-05-06 02:55:21+00:00,2.36,9.57,112,159
2025-05-06 02:55:22+00:00,2.37,10.71,108,160
2025-05-06 02:55:23+00:00,2.37,12.10,108,160
2025-05-06 02:55:24+00:00,2.37,13.77,106,160
2025-05-06 02:55:25+00:00,2.37,11.80,106,160
2025-05-06 02:55:26+00:00,2.37,10.89,106,160
2025-05-06 02:55:27+00:00,2.37,10.03,106,159
2025-05-06 02:55:28+00:00,2.37,9.77,106,159
2025-05-06 02:55:29+00:00,2.38,9.51,106,159
2025-05-06 02:55:30+00:00,2.38,9.57,106,159
2025-05-06 02:55:31+00:00,2.38,11.10,106,159
2025-05-06 02:55:32+00:00,2.38,11.98,106,160
2025-05-06 02:55:33+00:00,2.38,15.10,106,159
2025-05-06 02:55:34+00:00,2.38,16.17,106,160
2025-05-06 02:55:35+00:00,2.38,11.98,106,159
2025-05-06 02:55:36+00:00,2.39,11.35,106,159
2025-05-06 02:55:37+00:00,2.39,9.51,106,158
2025-05-06 02:55:38+00:00,2.39,12.96,106,158
2025-05-06 02:55:39+00:00,2.39,11.35,106,158
2025-05-06 02:55:40+00:00,2.39,9.09,106,158
2025-05-06 02:55:41+00:00,2.39,12.82,106,157
2025-05-06 02:55:42+00:00,2.39,10.47,106,157
2025-05-06 02:55:43+00:00,2.40,9.57,106,157
2025-05-06 02:55:44+00:00,2.40,9.09,108,156
2025-05-06 02:55:45+00:00,2.40,9.09,108,157
2025-05-06 02:55:46+00:00,2.40,10.30,108,154
2025-05-06 02:55:47+00:00,2.40,9.92,108,153
2025-05-06 02:55:48+00:00,2.41,10.03,108,153
2025-05-06 02:55:49+00:00,2.41,8.85,108,152
2025-05-06 02:55:50+00:00,2.41,10.47,108,151
2025-05-06 02:55:51+00:00,2.41,14.01,108,149
2025-05-06 02:55:52+00:00,2.41,10.03,108,147
2025-05-06 02:55:53+00:00,2.41,13.95,108,145
2025-05-06 02:55:54+00:00,2.41,9.51,108,143
2025-05-06 02:55:55+00:00,2.42,8.23,108,142
2025-05-06 02:55:56+00:00,2.42,11.35,106,141
2025-05-06 02:55:57+00:00,2.42,12.10,106,140
2025-05-06 02:55:58+00:00,2.42,12.82,106,140
2025-05-06 02:55:59+00:00,2.42,12.82,106,139
2025-05-06 02:56:00+00:00,2.42,12.82,106,139
2025-05-06 02:56:01+00:00,2.42,13.01,106,139
2025-05-06 02:56:02+00:00,2.43,9.41,106,138
2025-05-06 02:56:03+00:00,2.43,9.57,106,138
2025-05-06 02:56:04+00:00,2.43,12.10,106,137
2025-05-06 02:56:05+00:00,2.43,10.12,106,137
2025-05-06 02:56:06+00:00,2.43,15.72,106,137
2025-05-06 02:56:07+00:00,2.43,10.03,106,137
2025-05-06 02:56:08+00:00,2.44,9.41,106,136
2025-05-06 02:56:09+00:00,2.44,8.66,112,137
2025-05-06 02:56:10+00:00,2.44,8.61,116,137
2025-05-06 02:56:11+00:00,2.44,7.59,120,137
