timestamp,distance_cumulative_km,pace_min_per_km,cadence,heart_rate
2025-05-07 20:27:46+00:00,,12.38,98,106
2025-05-07 20:27:47+00:00,0.00,12.38,98,106
2025-05-07 20:27:48+00:00,0.00,10.64,98,106
2025-05-07 20:27:51+00:00,0.01,12.68,98,106
2025-05-07 20:27:52+00:00,0.01,13.95,98,106
2025-05-07 20:27:53+00:00,0.01,15.18,98,106
2025-05-07 20:28:04+00:00,0.02,14.14,98,104
2025-05-07 20:28:05+00:00,0.02,14.87,96,104
2025-05-07 20:28:06+00:00,0.02,15.14,96,104
2025-05-07 20:28:07+00:00,0.03,15.72,96,105
2025-05-07 20:28:08+00:00,0.03,14.52,96,105
2025-05-07 20:28:09+00:00,0.03,15.10,96,104
2025-05-07 20:28:10+00:00,0.03,15.18,96,104
2025-05-07 20:28:11+00:00,0.03,13.49,96,103
2025-05-07 20:28:12+00:00,0.03,11.38,96,103
2025-05-07 20:28:13+00:00,0.03,10.30,98,102
2025-05-07 20:28:14+00:00,0.03,9.13,98,102
2025-05-07 20:28:15+00:00,0.04,9.92,100,102
2025-05-07 20:28:16+00:00,0.04,11.35,100,101
2025-05-07 20:28:17+00:00,0.04,11.25,102,101
2025-05-07 20:28:18+00:00,0.04,13.77,102,101
2025-05-07 20:28:19+00:00,0.04,20.23,104,101
2025-05-07 20:28:20+00:00,0.04,16.17,104,100
2025-05-07 20:28:21+00:00,0.04,11.38,104,100
2025-05-07 20:28:22+00:00,0.05,9.92,104,100
2025-05-07 20:28:23+00:00,0.05,12.82,102,100
2025-05-07 20:28:24+00:00,0.05,12.82,102,100
2025-05-07 20:28:25+00:00,0.05,11.25,102,100
2025-05-07 20:28:26+00:00,0.05,10.03,100,100
2025-05-07 20:28:27+00:00,0.05,9.92,98,101
2025-05-07 20:28:28+00:00,0.05,9.85,98,102
2025-05-07 20:28:29+00:00,0.06,13.12,98,102
2025-05-07 20:28:30+00:00,0.06,15.10,98,102
2025-05-07 20:28:31+00:00,0.06,14.07,98,102
2025-05-07 20:28:32+00:00,0.06,9.57,98,102
2025-05-07 20:28:33+00:00,0.06,11.38,98,102
2025-05-07 20:28:34+00:00,0.06,11.80,98,102
2025-05-07 20:28:35+00:00,0.06,12.10,98,102
2025-05-07 20:28:36+00:00,0.07,9.04,100,102
2025-05-07 20:28:37+00:00,0.07,8.55,102,101
2025-05-07 20:28:38+00:00,0.07,12.82,104,101
2025-05-07 20:28:39+00:00,0.07,10.30,104,101
2025-05-07 20:28:40+00:00,0.07,11.25,104,101
2025-05-07 20:28:41+00:00,0.07,11.35,104,100
2025-05-07 20:28:42+00:00,0.08,10.03,104,100
2025-05-07 20:28:43+00:00,0.08,12.10,104,100
2025-05-07 20:28:44+00:00,0.08,14.01,104,100
2025-05-07 20:28:45+00:00,0.08,12.14,104,100
2025-05-07 20:28:46+00:00,0.08,12.14,104,100
2025-05-07 20:28:47+00:00,0.08,12.82,104,101
2025-05-07 20:28:48+00:00,0.08,12.59,104,101
2025-05-07 20:28:49+00:00,0.08,15.10,104,101
2025-05-07 20:28:50+00:00,0.09,14.07,104,102
2025-05-07 20:28:51+00:00,0.09,16.17,102,102
2025-05-07 20:28:52+00:00,0.09,11.38,102,102
2025-05-07 20:28:53+00:00,0.09,12.10,102,102
2025-05-07 20:28:54+00:00,0.09,10.68,102,101
2025-05-07 20:28:55+00:00,0.09,9.57,102,101
2025-05-07 20:28:56+00:00,0.09,11.35,102,101
2025-05-07 20:28:57+00:00,0.10,11.98,102,101
2025-05-07 20:28:58+00:00,0.10,11.38,102,101
2025-05-07 20:28:59+00:00,0.10,11.35,102,102
2025-05-07 20:29:00+00:00,0.10,10.03,102,102
2025-05-07 20:29:01+00:00,0.10,10.09,102,101
2025-05-07 20:29:02+00:00,0.10,11.25,102,101
2025-05-07 20:29:03+00:00,0.11,11.38,102,99
2025-05-07 20:29:04+00:00,0.11,13.95,102,100
2025-05-07 20:29:05+00:00,0.11,11.98,104,101
2025-05-07 20:29:06+00:00,0.11,10.47,104,101
2025-05-07 20:29:07+00:00,0.11,12.14,104,101
2025-05-07 20:29:08+00:00,0.11,10.71,104,102
2025-05-07 20:29:09+00:00,0.11,10.30,104,102
2025-05-07 20:29:10+00:00,0.12,10.03,106,102
2025-05-07 20:29:11+00:00,0.12,12.10,106,103
2025-05-07 20:29:12+00:00,0.12,10.68,106,103
2025-05-07 20:29:13+00:00,0.12,11.38,106,103
2025-05-07 20:29:14+00:00,0.12,12.10,106,104
2025-05-07 20:29:15+00:00,0.12,11.80,106,104
2025-05-07 20:29:16+00:00,0.12,10.68,106,104
2025-05-07 20:29:17+00:00,0.13,11.35,106,104
2025-05-07 20:29:18+00:00,0.13,12.10,106,105
2025-05-07 20:29:19+00:00,0.13,11.98,106,104
2025-05-07 20:29:20+00:00,0.13,12.14,106,104
2025-05-07 20:29:21+00:00,0.13,12.10,106,105
2025-05-07 20:29:22+00:00,0.13,11.25,106,106
2025-05-07 20:29:23+00:00,0.13,10.68,106,104
2025-05-07 20:29:24+00:00,0.14,9.09,106,104
2025-05-07 20:29:25+00:00,0.14,8.23,108,104
2025-05-07 20:29:26+00:00,0.14,10.03,108,104
2025-05-07 20:29:27+00:00,0.14,11.35,108,106
2025-05-07 20:29:28+00:00,0.14,10.12,108,104
2025-05-07 20:29:29+00:00,0.14,12.96,108,104
2025-05-07 20:29:30+00:00,0.15,10.47,108,103
2025-05-07 20:29:31+00:00,0.15,11.38,108,103
2025-05-07 20:29:32+00:00,0.15,10.03,108,103
2025-05-07 20:29:33+00:00,0.15,10.47,108,103
2025-05-07 20:29:34+00:00,0.15,9.77,110,103
2025-05-07 20:29:35+00:00,0.15,9.04,110,102
2025-05-07 20:29:36+00:00,0.16,8.61,110,102
2025-05-07 20:29:37+00:00,0.16,10.09,110,102
2025-05-07 20:29:38+00:00,0.16,9.11,110,101
2025-05-07 20:29:39+00:00,0.16,8.54,110,101
2025-05-07 20:29:40+00:00,0.16,7.66,110,101
2025-05-07 20:29:41+00:00,0.17,9.41,110,100
2025-05-07 20:29:42+00:00,0.17,12.10,110,100
2025-05-07 20:29:43+00:00,0.17,12.82,110,100
2025-05-07 20:29:44+00:00,0.17,11.80,110,100
2025-05-07 20:29:45+00:00,0.17,11.10,110,100
2025-05-07 20:29:46+00:00,0.17,11.25,110,100
2025-05-07 20:29:47+00:00,0.17,9.81,110,100
2025-05-07 20:29:48+00:00,0.18,8.42,110,101
2025-05-07 20:29:49+00:00,0.18,7.60,110,101
2025-05-07 20:29:50+00:00,0.18,7.84,110,100
2025-05-07 20:29:51+00:00,0.18,7.57,110,100
2025-05-07 20:29:52+00:00,0.18,8.19,110,101
2025-05-07 20:29:53+00:00,0.19,9.29,110,101
2025-05-07 20:29:54+00:00,0.19,9.92,110,101
2025-05-07 20:29:55+00:00,0.19,9.58,110,102
2025-05-07 20:29:56+00:00,0.19,10.09,110,102
2025-05-07 20:29:57+00:00,0.19,12.96,110,102
2025-05-07 20:29:58+00:00,0.19,9.92,110,102
2025-05-07 20:29:59+00:00,0.20,10.09,110,102
2025-05-07 20:30:00+00:00,0.20,10.47,110,101
2025-05-07 20:30:01+00:00,0.20,9.77,108,102
2025-05-07 20:30:02+00:00,0.20,8.96,108,102
2025-05-07 20:30:03+00:00,0.20,8.45,108,102
2025-05-07 20:30:04+00:00,0.20,,108,102
2025-05-07 20:30:05+00:00,0.21,9.92,108,102
2025-05-07 20:30:06+00:00,0.21,11.38,108,102
2025-05-07 20:30:07+00:00,0.21,9.57,108,101
2025-05-07 20:30:08+00:00,0.21,14.01,106,101
2025-05-07 20:30:09+00:00,0.21,9.57,106,98
2025-05-07 20:30:10+00:00,0.21,10.71,106,95
2025-05-07 20:30:11+00:00,0.21,10.71,106,101
2025-05-07 20:30:12+00:00,0.22,11.38,104,100
2025-05-07 20:30:13+00:00,0.22,11.25,104,101
2025-05-07 20:30:14+00:00,0.22,15.10,104,101
2025-05-07 20:30:15+00:00,0.22,15.10,102,100
2025-05-07 20:30:16+00:00,0.22,12.14,102,100
2025-05-07 20:30:17+00:00,0.22,11.25,102,101
2025-05-07 20:30:18+00:00,0.22,11.38,102,101
2025-05-07 20:30:19+00:00,0.23,10.12,102,101
2025-05-07 20:30:20+00:00,0.23,15.18,100,101
2025-05-07 20:30:21+00:00,0.23,12.14,100,100
2025-05-07 20:30:22+00:00,0.23,9.51,100,101
2025-05-07 20:30:23+00:00,0.23,13.77,100,101
2025-05-07 20:30:24+00:00,0.23,10.71,100,101
2025-05-07 20:30:25+00:00,0.23,11.25,100,101
2025-05-07 20:30:26+00:00,0.24,9.11,100,100
2025-05-07 20:30:27+00:00,0.24,11.98,102,100
2025-05-07 20:30:28+00:00,0.24,6.97,104,101
2025-05-07 20:30:29+00:00,0.24,6.97,106,101
2025-05-07 20:30:30+00:00,0.24,6.50,116,101
2025-05-07 20:30:31+00:00,0.25,6.07,122,102
2025-05-07 20:30:32+00:00,0.25,6.07,128,102
2025-05-07 20:30:55+00:00,0.31,11.10,146,125
2025-05-07 20:30:57+00:00,0.31,9.57,134,132
2025-05-07 20:30:58+00:00,0.31,9.92,128,136
2025-05-07 20:30:59+00:00,0.31,11.12,122,139
2025-05-07 20:31:00+00:00,0.31,12.29,118,140
