timestamp,distance_cumulative_km,pace_min_per_km,cadence,heart_rate
2025-05-08 20:20:03+00:00,,,0,95
2025-05-08 20:20:15+00:00,0.00,,0,94
2025-05-08 20:20:16+00:00,0.00,,0,94
2025-05-08 20:20:17+00:00,0.00,,0,94
2025-05-08 20:20:18+00:00,0.00,,0,94
2025-05-08 20:20:19+00:00,0.00,,0,91
2025-05-08 20:20:20+00:00,0.00,,0,94
2025-05-08 20:20:21+00:00,0.00,,0,94
2025-05-08 20:20:22+00:00,0.00,,0,94
2025-05-08 20:20:23+00:00,0.00,,0,94
2025-05-08 20:20:24+00:00,0.00,,0,95
2025-05-08 20:20:25+00:00,0.00,,0,95
2025-05-08 20:20:26+00:00,0.00,,0,95
2025-05-08 20:20:27+00:00,0.00,,0,95
2025-05-08 20:20:28+00:00,0.00,,0,95
2025-05-08 20:20:29+00:00,0.00,,0,93
2025-05-08 20:20:30+00:00,0.00,,0,94
2025-05-08 20:20:31+00:00,0.00,,0,94
2025-05-08 20:20:32+00:00,0.00,,0,94
2025-05-08 20:20:33+00:00,0.00,,0,94
2025-05-08 20:20:34+00:00,0.00,,0,94
2025-05-08 20:20:35+00:00,0.00,,0,97
2025-05-08 20:20:36+00:00,0.00,,0,95
2025-05-08 20:20:37+00:00,0.00,,0,95
2025-05-08 20:20:38+00:00,0.00,,0,95
2025-05-08 20:20:39+00:00,0.00,,0,93
2025-05-08 20:20:40+00:00,0.00,,0,91
2025-05-08 20:20:41+00:00,0.00,,0,90
2025-05-08 20:20:42+00:00,0.00,,0,90
2025-05-08 20:20:43+00:00,0.00,,0,88
2025-05-08 20:20:44+00:00,0.00,,0,90
2025-05-08 20:20:45+00:00,0.00,,0,90
2025-05-08 20:20:46+00:00,0.00,,0,91
2025-05-08 20:20:47+00:00,0.00,,0,91
2025-05-08 20:20:48+00:00,0.00,,0,91
2025-05-08 20:20:49+00:00,0.00,,0,92
2025-05-08 20:20:50+00:00,0.01,2.07,0,92
2025-05-08 20:20:51+00:00,0.02,1.43,0,92
2025-05-08 20:20:53+00:00,0.05,0.76,114,92
2025-05-08 20:20:54+00:00,0.05,6.81,114,91
2025-05-08 20:20:55+00:00,0.05,29.75,0,91
2025-05-08 20:20:56+00:00,0.06,8.78,0,92
2025-05-08 20:20:57+00:00,0.06,8.81,0,93
2025-05-08 20:20:58+00:00,0.06,12.99,0,95
2025-05-08 20:20:59+00:00,0.06,8.07,0,98
2025-05-08 20:21:00+00:00,0.06,13.59,0,99
2025-05-08 20:21:01+00:00,0.06,20.71,0,100
2025-05-08 20:21:02+00:00,0.06,29.75,0,101
2025-05-08 20:21:03+00:00,0.06,36.70,0,100
2025-05-08 20:21:04+00:00,0.06,69.30,0,99
2025-05-08 20:21:05+00:00,0.07,29.75,0,98
2025-05-08 20:21:06+00:00,0.07,28.93,0,97
2025-05-08 20:21:07+00:00,0.07,45.53,0,97
2025-05-08 20:21:08+00:00,0.07,149.89,0,98
2025-05-08 20:21:09+00:00,0.07,25.04,0,97
2025-05-08 20:21:10+00:00,0.07,149.89,0,97
2025-05-08 20:21:11+00:00,0.07,48.18,0,96
2025-05-08 20:21:12+00:00,0.07,47.17,0,96
2025-05-08 20:21:13+00:00,0.07,69.30,0,96
2025-05-08 20:21:14+00:00,0.07,25.94,0,96
2025-05-08 20:21:15+00:00,0.07,43.80,0,96
2025-05-08 20:21:16+00:00,0.07,60.70,0,95
2025-05-08 20:21:17+00:00,0.07,91.05,0,96
2025-05-08 20:21:18+00:00,0.07,,0,96
2025-05-08 20:21:19+00:00,0.07,,0,95
2025-05-08 20:21:20+00:00,0.07,,96,97
2025-05-08 20:21:21+00:00,0.07,43.80,98,95
2025-05-08 20:21:22+00:00,0.07,12.41,102,97
2025-05-08 20:21:23+00:00,0.07,9.01,102,97
2025-05-08 20:21:24+00:00,0.08,6.90,108,95
2025-05-08 20:21:25+00:00,0.08,6.90,108,95
2025-05-08 20:21:26+00:00,0.08,7.51,110,94
2025-05-08 20:21:27+00:00,0.08,7.41,110,93
2025-05-08 20:21:28+00:00,0.08,7.32,112,94
2025-05-08 20:21:29+00:00,0.09,7.15,112,96
2025-05-08 20:21:30+00:00,0.09,8.38,112,95
2025-05-08 20:21:31+00:00,0.09,9.11,112,94
2025-05-08 20:21:32+00:00,0.09,8.28,112,95
2025-05-08 20:21:33+00:00,0.09,7.91,114,96
2025-05-08 20:21:34+00:00,0.10,7.91,114,96
2025-05-08 20:21:35+00:00,0.10,9.57,114,97
2025-05-08 20:21:36+00:00,0.10,8.66,114,98
2025-05-08 20:21:37+00:00,0.10,10.09,114,98
2025-05-08 20:21:38+00:00,0.10,11.35,114,99
2025-05-08 20:21:39+00:00,0.11,12.14,114,99
2025-05-08 20:21:40+00:00,0.11,13.01,114,100
2025-05-08 20:21:41+00:00,0.11,10.09,114,99
2025-05-08 20:21:42+00:00,0.11,10.09,114,100
2025-05-08 20:21:43+00:00,0.11,9.51,114,100
2025-05-08 20:21:44+00:00,0.11,10.47,114,100
2025-05-08 20:21:45+00:00,0.11,12.14,114,100
2025-05-08 20:21:46+00:00,0.12,9.51,112,99
2025-05-08 20:21:47+00:00,0.12,8.27,112,100
2025-05-08 20:21:48+00:00,0.12,8.28,112,100
2025-05-08 20:21:49+00:00,0.12,7.82,112,100
2025-05-08 20:21:50+00:00,0.12,7.58,114,100
2025-05-08 20:21:51+00:00,0.13,8.66,114,101
2025-05-08 20:21:52+00:00,0.13,9.51,114,101
2025-05-08 20:21:53+00:00,0.13,9.58,114,101
2025-05-08 20:21:54+00:00,0.13,9.41,114,102
2025-05-08 20:21:55+00:00,0.13,10.71,114,102
2025-05-08 20:21:56+00:00,0.14,9.41,114,102
2025-05-08 20:21:57+00:00,0.14,9.41,114,102
2025-05-08 20:21:58+00:00,0.14,14.87,114,101
2025-05-08 20:21:59+00:00,0.14,11.38,114,102
2025-05-08 20:22:00+00:00,0.14,8.67,114,101
2025-05-08 20:22:01+00:00,0.14,10.09,114,101
2025-05-08 20:22:02+00:00,0.15,7.92,114,101
2025-05-08 20:22:03+00:00,0.15,11.80,114,100
2025-05-08 20:22:04+00:00,0.15,10.60,114,103
2025-05-08 20:22:05+00:00,0.15,9.51,114,101
2025-05-08 20:22:06+00:00,0.15,10.09,114,103
2025-05-08 20:22:07+00:00,0.15,8.33,114,103
2025-05-08 20:22:08+00:00,0.16,7.50,114,105
2025-05-08 20:22:09+00:00,0.16,8.55,112,104
2025-05-08 20:22:10+00:00,0.16,9.57,112,105
2025-05-08 20:22:11+00:00,0.16,8.23,112,104
2025-05-08 20:22:12+00:00,0.16,11.35,112,107
2025-05-08 20:22:13+00:00,0.16,13.01,112,106
2025-05-08 20:22:14+00:00,0.17,10.71,112,109
2025-05-08 20:22:15+00:00,0.17,10.12,112,113
2025-05-08 20:22:16+00:00,0.17,9.58,112,115
2025-05-08 20:22:17+00:00,0.17,9.57,112,116
2025-05-08 20:22:18+00:00,0.17,7.92,114,117
2025-05-08 20:22:19+00:00,0.18,6.07,116,118
2025-05-08 20:22:20+00:00,0.18,5.67,120,118
2025-05-08 20:22:21+00:00,0.18,3.78,130,118
2025-05-08 20:22:22+00:00,0.19,4.03,136,118
2025-05-08 20:23:05+00:00,0.31,11.25,146,153
2025-05-08 20:23:06+00:00,0.31,11.25,140,153
2025-05-08 20:23:07+00:00,0.31,10.68,134,153
2025-05-08 20:23:08+00:00,0.32,11.38,134,153
2025-05-08 20:23:09+00:00,0.32,7.91,130,153
2025-05-08 20:23:10+00:00,0.32,9.09,126,154
2025-05-08 20:23:11+00:00,0.32,13.01,122,154
2025-05-08 20:23:12+00:00,0.32,8.66,118,154
2025-05-08 20:23:13+00:00,0.32,10.60,114,154
2025-05-08 20:23:14+00:00,0.33,9.57,112,153
2025-05-08 20:23:15+00:00,0.33,11.35,110,152
2025-05-08 20:23:16+00:00,0.33,11.38,110,151
2025-05-08 20:23:17+00:00,0.33,12.10,110,149
2025-05-08 20:23:18+00:00,0.33,10.71,110,147
2025-05-08 20:23:19+00:00,0.33,9.57,110,146
2025-05-08 20:23:20+00:00,0.34,10.60,110,144
2025-05-08 20:23:21+00:00,0.34,10.03,110,143
2025-05-08 20:23:22+00:00,0.34,8.61,110,142
2025-05-08 20:23:23+00:00,0.34,10.68,110,140
2025-05-08 20:23:24+00:00,0.34,8.28,110,139
2025-05-08 20:23:25+00:00,0.34,7.44,112,137
2025-05-08 20:23:26+00:00,0.35,8.17,112,136
2025-05-08 20:23:27+00:00,0.35,10.68,112,136
2025-05-08 20:23:28+00:00,0.35,9.04,112,136
2025-05-08 20:23:29+00:00,0.35,10.47,112,136
2025-05-08 20:23:30+00:00,0.35,8.85,112,136
2025-05-08 20:23:31+00:00,0.36,12.96,112,135
2025-05-08 20:23:32+00:00,0.36,8.67,112,135
2025-05-08 20:23:33+00:00,0.36,13.01,112,134
2025-05-08 20:23:34+00:00,0.36,9.58,112,134
2025-05-08 20:23:35+00:00,0.36,7.91,112,134
2025-05-08 20:23:36+00:00,0.36,7.55,112,134
2025-05-08 20:23:37+00:00,0.37,7.87,112,133
2025-05-08 20:23:38+00:00,0.37,6.74,112,133
2025-05-08 20:23:39+00:00,0.37,12.14,112,133
2025-05-08 20:23:40+00:00,0.37,9.11,112,133
2025-05-08 20:23:41+00:00,0.37,11.25,112,132
2025-05-08 20:23:42+00:00,0.37,12.10,114,131
2025-05-08 20:23:43+00:00,0.38,12.10,114,131
2025-05-08 20:23:44+00:00,0.38,12.96,114,131
2025-05-08 20:23:45+00:00,0.38,12.10,114,130
2025-05-08 20:23:46+00:00,0.38,10.09,114,130
2025-05-08 20:23:47+00:00,0.38,8.96,114,130
2025-05-08 20:23:48+00:00,0.38,9.04,114,130
2025-05-08 20:23:49+00:00,0.39,11.35,112,130
2025-05-08 20:23:50+00:00,0.39,10.09,112,130
2025-05-08 20:23:51+00:00,0.39,9.51,112,130
2025-05-08 20:23:52+00:00,0.39,10.09,112,130
2025-05-08 20:23:53+00:00,0.39,7.58,112,129
2025-05-08 20:23:54+00:00,0.39,8.61,112,128
2025-05-08 20:23:55+00:00,0.40,9.51,112,127
2025-05-08 20:23:56+00:00,0.40,9.04,112,125
2025-05-08 20:23:57+00:00,0.40,13.12,112,125
2025-05-08 20:23:58+00:00,0.40,13.77,112,126
2025-05-08 20:23:59+00:00,0.40,8.31,110,126
2025-05-08 20:24:00+00:00,0.40,21.27,110,124
2025-05-08 20:24:01+00:00,0.40,34.65,106,124
2025-05-08 20:24:02+00:00,0.40,57.86,104,125
2025-05-08 20:24:03+00:00,0.40,69.30,104,125
2025-05-08 20:24:04+00:00,0.41,48.18,0,124
2025-05-08 20:24:05+00:00,0.41,45.53,0,124
2025-05-08 20:24:06+00:00,0.41,47.17,0,124
2025-05-08 20:24:07+00:00,0.41,57.86,0,124
2025-05-08 20:24:08+00:00,0.41,149.89,0,124
2025-05-08 20:24:09+00:00,0.41,47.17,42,124
2025-05-08 20:24:10+00:00,0.41,,42,124
2025-05-08 20:24:11+00:00,0.41,149.89,0,123
2025-05-08 20:24:12+00:00,0.41,,0,123
2025-05-08 20:24:13+00:00,0.41,,0,123
2025-05-08 20:24:14+00:00,0.41,,0,122
2025-05-08 20:24:15+00:00,0.41,,0,122
2025-05-08 20:24:16+00:00,0.41,,0,121
2025-05-08 20:24:17+00:00,0.41,,0,120
2025-05-08 20:24:18+00:00,0.41,,0,120
2025-05-08 20:24:19+00:00,0.41,,0,119
2025-05-08 20:24:20+00:00,0.41,,0,118
2025-05-08 20:24:21+00:00,0.41,182.11,0,117
2025-05-08 20:24:22+00:00,0.41,182.11,0,117
2025-05-08 20:24:23+00:00,0.41,,0,116
2025-05-08 20:24:24+00:00,0.41,,0,116
2025-05-08 20:24:25+00:00,0.41,,0,116
2025-05-08 20:24:26+00:00,0.41,182.11,100,116
2025-05-08 20:24:27+00:00,0.41,32.76,112,116
2025-05-08 20:25:06+00:00,0.53,16.17,156,156
2025-05-08 20:25:10+00:00,0.54,9.57,156,156
2025-05-08 20:25:20+00:00,0.56,12.82,150,155
2025-05-08 20:25:22+00:00,0.57,9.57,142,152
2025-05-08 20:25:23+00:00,0.57,9.09,136,153
2025-05-08 20:25:24+00:00,0.57,9.85,132,154
2025-05-08 20:25:25+00:00,0.57,9.30,130,155
2025-05-08 20:25:26+00:00,0.57,7.32,130,155
2025-05-08 20:25:27+00:00,0.58,6.73,130,155
2025-05-08 20:25:28+00:00,0.58,5.89,130,155
2025-05-08 20:25:29+00:00,0.58,6.03,132,154
2025-05-08 20:25:30+00:00,0.58,6.41,136,154
2025-05-08 20:25:52+00:00,0.64,10.60,160,159
2025-05-08 20:26:16+00:00,0.69,11.69,140,164
2025-05-08 20:26:17+00:00,0.70,11.57,134,164
2025-05-08 20:26:18+00:00,0.70,9.06,128,164
2025-05-08 20:26:19+00:00,0.70,13.80,124,164
2025-05-08 20:26:20+00:00,0.70,8.96,120,164
2025-05-08 20:26:21+00:00,0.70,7.79,116,164
2025-05-08 20:26:22+00:00,0.70,8.63,114,163
2025-05-08 20:26:23+00:00,0.71,11.57,110,162
2025-05-08 20:26:24+00:00,0.71,7.80,110,162
2025-05-08 20:26:25+00:00,0.71,9.97,110,162
2025-05-08 20:26:26+00:00,0.71,15.20,110,162
2025-05-08 20:26:27+00:00,0.71,9.46,110,162
2025-05-08 20:26:28+00:00,0.71,10.10,110,162
2025-05-08 20:26:29+00:00,0.72,11.33,110,162
2025-05-08 20:26:30+00:00,0.72,10.54,110,162
2025-05-08 20:26:31+00:00,0.72,9.15,112,163
2025-05-08 20:26:32+00:00,0.72,10.27,112,163
2025-05-08 20:26:33+00:00,0.72,8.12,110,164
2025-05-08 20:26:34+00:00,0.72,12.23,110,165
2025-05-08 20:26:35+00:00,0.73,10.69,110,165
2025-05-08 20:26:36+00:00,0.73,9.86,110,165
2025-05-08 20:26:37+00:00,0.73,7.88,110,165
2025-05-08 20:26:38+00:00,0.73,16.58,110,165
2025-05-08 20:26:39+00:00,0.73,12.46,110,165
2025-05-08 20:26:40+00:00,0.73,8.78,110,164
2025-05-08 20:26:41+00:00,0.74,14.94,110,164
2025-05-08 20:26:42+00:00,0.74,8.32,110,163
2025-05-08 20:26:43+00:00,0.74,13.05,110,162
2025-05-08 20:26:44+00:00,0.74,12.49,110,162
2025-05-08 20:26:45+00:00,0.74,9.98,110,161
2025-05-08 20:26:46+00:00,0.74,10.69,110,161
2025-05-08 20:26:47+00:00,0.74,12.23,110,160
2025-05-08 20:26:48+00:00,0.75,9.36,110,159
2025-05-08 20:26:49+00:00,0.75,9.98,110,158
2025-05-08 20:26:50+00:00,0.75,9.98,110,158
2025-05-08 20:26:51+00:00,0.75,9.37,110,158
2025-05-08 20:26:52+00:00,0.75,9.99,110,157
2025-05-08 20:26:53+00:00,0.75,8.82,110,157
2025-05-08 20:26:54+00:00,0.76,9.26,110,157
2025-05-08 20:26:55+00:00,0.76,9.32,108,156
2025-05-08 20:26:56+00:00,0.76,9.36,108,156
2025-05-08 20:26:57+00:00,0.76,7.88,108,156
