timestamp,distance_cumulative_km,pace_min_per_km,cadence,heart_rate
2025-05-10 20:37:16+00:00,,11.69,0,96
2025-05-10 20:37:17+00:00,0.00,11.69,80,95
2025-05-10 20:37:18+00:00,0.00,11.69,80,92
2025-05-10 20:37:19+00:00,0.00,11.69,80,93
2025-05-10 20:37:20+00:00,0.01,11.26,80,93
2025-05-10 20:37:21+00:00,0.01,11.69,80,93
2025-05-10 20:37:22+00:00,0.01,11.69,82,94
2025-05-10 20:37:23+00:00,0.01,11.69,82,95
2025-05-10 20:37:24+00:00,0.01,11.69,82,93
2025-05-10 20:37:25+00:00,0.01,5.51,84,95
2025-05-10 20:37:26+00:00,0.02,8.61,84,93
2025-05-10 20:37:27+00:00,0.02,6.07,86,93
2025-05-10 20:37:28+00:00,0.02,7.15,88,93
2025-05-10 20:37:29+00:00,0.02,8.95,88,94
2025-05-10 20:37:30+00:00,0.03,7.28,90,93
2025-05-10 20:37:31+00:00,0.03,14.07,90,93
2025-05-10 20:37:32+00:00,0.03,13.95,92,94
2025-05-10 20:37:33+00:00,0.03,26.12,94,96
2025-05-10 20:37:34+00:00,0.03,21.33,96,98
2025-05-10 20:37:35+00:00,0.03,21.33,98,99
2025-05-10 20:37:36+00:00,0.03,20.71,98,100
2025-05-10 20:37:37+00:00,0.03,19.53,98,101
2025-05-10 20:37:38+00:00,0.03,23.07,98,101
2025-05-10 20:37:39+00:00,0.03,20.23,98,101
2025-05-10 20:37:40+00:00,0.04,9.51,98,102
2025-05-10 20:37:41+00:00,0.04,9.38,98,101
2025-05-10 20:37:42+00:00,0.04,20.71,98,101
2025-05-10 20:37:43+00:00,0.04,12.14,98,101
2025-05-10 20:37:44+00:00,0.04,16.17,98,101
2025-05-10 20:37:45+00:00,0.04,12.59,98,101
2025-05-10 20:37:46+00:00,0.04,9.92,98,101
2025-05-10 20:37:47+00:00,0.04,11.35,98,101
2025-05-10 20:37:48+00:00,0.05,11.98,98,101
2025-05-10 20:37:49+00:00,0.05,9.85,98,101
2025-05-10 20:37:50+00:00,0.05,12.29,100,101
2025-05-10 20:37:51+00:00,0.05,12.96,102,101
2025-05-10 20:37:52+00:00,0.05,14.87,102,101
2025-05-10 20:37:53+00:00,0.05,12.59,102,101
2025-05-10 20:37:54+00:00,0.05,11.35,104,101
2025-05-10 20:37:55+00:00,0.06,10.09,104,101
2025-05-10 20:37:56+00:00,0.06,13.49,104,101
2025-05-10 20:37:57+00:00,0.06,12.82,106,101
2025-05-10 20:37:58+00:00,0.06,10.68,106,101
2025-05-10 20:37:59+00:00,0.06,15.18,106,101
2025-05-10 20:38:00+00:00,0.06,10.09,106,101
2025-05-10 20:38:01+00:00,0.06,11.55,106,101
2025-05-10 20:38:02+00:00,0.07,14.52,104,101
2025-05-10 20:38:03+00:00,0.07,8.17,104,101
2025-05-10 20:38:04+00:00,0.07,10.03,106,101
2025-05-10 20:38:05+00:00,0.07,8.28,106,99
2025-05-10 20:38:06+00:00,0.07,7.00,108,100
2025-05-10 20:38:07+00:00,0.08,6.50,110,100
2025-05-10 20:38:08+00:00,0.08,4.79,112,100
2025-05-10 20:38:09+00:00,0.08,4.44,118,99
2025-05-10 20:38:10+00:00,0.09,4.79,128,99
2025-05-10 20:38:11+00:00,0.09,6.48,134,101
2025-05-10 20:38:29+00:00,0.13,10.68,154,128
2025-05-10 20:38:40+00:00,0.16,9.51,152,133
2025-05-10 20:38:47+00:00,0.17,9.51,152,137
2025-05-10 20:38:50+00:00,0.18,11.35,152,138
2025-05-10 20:38:53+00:00,0.19,15.10,150,139
2025-05-10 20:38:56+00:00,0.19,15.10,148,139
2025-05-10 20:38:58+00:00,0.20,10.71,150,139
2025-05-10 20:39:03+00:00,0.20,12.59,148,141
2025-05-10 20:39:04+00:00,0.21,9.51,146,141
2025-05-10 20:39:05+00:00,0.21,10.09,146,141
2025-05-10 20:39:10+00:00,0.22,11.38,142,142
2025-05-10 20:39:11+00:00,0.22,10.47,138,142
2025-05-10 20:39:12+00:00,0.22,11.10,134,142
2025-05-10 20:39:13+00:00,0.22,9.58,130,142
2025-05-10 20:39:14+00:00,0.22,9.51,130,142
2025-05-10 20:39:15+00:00,0.23,14.49,126,142
2025-05-10 20:39:16+00:00,0.23,14.52,122,142
2025-05-10 20:39:17+00:00,0.23,15.10,118,141
2025-05-10 20:39:18+00:00,0.23,8.54,116,140
2025-05-10 20:39:19+00:00,0.23,13.49,112,139
2025-05-10 20:39:20+00:00,0.23,9.57,108,138
2025-05-10 20:39:21+00:00,0.23,19.65,106,137
2025-05-10 20:39:22+00:00,0.23,15.10,106,137
2025-05-10 20:39:23+00:00,0.24,15.10,106,137
2025-05-10 20:39:24+00:00,0.24,20.05,106,136
2025-05-10 20:39:25+00:00,0.24,12.96,106,135
2025-05-10 20:39:26+00:00,0.24,9.41,106,134
2025-05-10 20:39:27+00:00,0.24,8.54,106,133
2025-05-10 20:39:28+00:00,0.24,8.67,106,132
2025-05-10 20:39:29+00:00,0.25,7.82,106,130
2025-05-10 20:39:30+00:00,0.25,14.01,108,129
2025-05-10 20:39:31+00:00,0.25,10.47,108,129
2025-05-10 20:39:32+00:00,0.25,10.47,108,128
2025-05-10 20:39:33+00:00,0.25,12.96,108,128
2025-05-10 20:39:34+00:00,0.25,10.68,108,128
2025-05-10 20:39:35+00:00,0.25,10.12,108,128
2025-05-10 20:39:36+00:00,0.26,10.09,110,128
2025-05-10 20:39:37+00:00,0.26,9.51,110,128
2025-05-10 20:39:38+00:00,0.26,9.57,110,128
2025-05-10 20:39:39+00:00,0.26,8.67,110,128
2025-05-10 20:39:40+00:00,0.26,8.27,110,128
