timestamp,distance_cumulative_km,pace_min_per_km,cadence,heart_rate
2025-05-14 17:47:26+00:00,,19.46,0,109
2025-05-14 17:47:27+00:00,0.00,19.46,0,109
2025-05-14 17:47:28+00:00,0.00,57.86,0,109
2025-05-14 17:47:29+00:00,0.00,14.94,0,109
2025-05-14 17:47:30+00:00,0.00,14.24,0,108
2025-05-14 17:47:31+00:00,0.00,57.86,0,108
2025-05-14 17:47:32+00:00,0.00,25.63,98,108
2025-05-14 17:47:33+00:00,0.01,13.77,100,109
2025-05-14 17:47:34+00:00,0.01,14.07,102,109
2025-05-14 17:47:35+00:00,0.01,11.25,104,109
2025-05-14 17:47:36+00:00,0.01,9.58,104,109
2025-05-14 17:47:37+00:00,0.01,9.59,104,109
2025-05-14 17:47:38+00:00,0.01,13.01,104,109
2025-05-14 17:47:39+00:00,0.01,15.18,104,109
2025-05-14 17:47:40+00:00,0.02,13.77,104,109
2025-05-14 17:47:41+00:00,0.02,10.60,106,109
2025-05-14 17:47:42+00:00,0.02,12.96,106,108
2025-05-14 17:47:43+00:00,0.02,11.35,106,108
2025-05-14 17:47:44+00:00,0.02,7.82,106,107
2025-05-14 17:47:45+00:00,0.02,7.72,106,107
2025-05-14 17:47:46+00:00,0.03,10.47,106,107
2025-05-14 17:47:47+00:00,0.03,12.59,106,108
2025-05-14 17:47:48+00:00,0.03,11.35,106,108
2025-05-14 17:47:49+00:00,0.03,11.38,106,108
2025-05-14 17:47:50+00:00,0.03,15.14,108,107
2025-05-14 17:47:51+00:00,0.03,11.98,108,107
2025-05-14 17:47:52+00:00,0.03,11.98,108,107
2025-05-14 17:47:53+00:00,0.03,,108,107
2025-05-14 17:47:54+00:00,0.04,6.07,110,107
2025-05-14 17:47:55+00:00,0.04,10.71,110,107
2025-05-14 17:47:56+00:00,0.04,11.38,110,107
2025-05-14 17:47:57+00:00,0.04,9.57,110,106
2025-05-14 17:47:58+00:00,0.04,8.66,112,107
2025-05-14 17:47:59+00:00,0.04,9.09,112,106
2025-05-14 17:48:00+00:00,0.05,8.66,112,106
2025-05-14 17:48:01+00:00,0.05,8.17,112,106
2025-05-14 17:48:02+00:00,0.05,9.51,112,105
2025-05-14 17:48:03+00:00,0.05,10.09,112,104
2025-05-14 17:48:04+00:00,0.05,13.77,112,103
2025-05-14 17:48:05+00:00,0.05,11.25,112,102
2025-05-14 17:48:06+00:00,0.06,11.10,112,101
2025-05-14 17:48:07+00:00,0.06,19.53,110,100
2025-05-14 17:48:08+00:00,0.06,28.13,110,100
2025-05-14 17:48:09+00:00,0.06,16.46,110,99
2025-05-14 17:48:10+00:00,0.06,8.65,108,99
2025-05-14 17:48:11+00:00,0.06,9.73,108,99
2025-05-14 17:48:12+00:00,0.06,8.55,108,99
2025-05-14 17:48:13+00:00,0.07,8.45,108,98
2025-05-14 17:48:14+00:00,0.07,10.30,108,97
2025-05-14 17:48:15+00:00,0.07,9.09,108,98
2025-05-14 17:48:16+00:00,0.07,9.09,108,99
2025-05-14 17:48:17+00:00,0.07,8.23,108,99
2025-05-14 17:48:18+00:00,0.08,10.12,108,98
2025-05-14 17:48:19+00:00,0.08,13.12,108,99
2025-05-14 17:48:20+00:00,0.08,15.10,108,100
2025-05-14 17:48:21+00:00,0.08,12.96,108,97
2025-05-14 17:48:22+00:00,0.08,11.25,110,99
2025-05-14 17:48:23+00:00,0.08,10.68,110,99
2025-05-14 17:48:24+00:00,0.08,10.60,108,100
