timestamp,distance_cumulative_km,pace_min_per_km,cadence,heart_rate
2025-05-17 17:02:10+00:00,,6.23,102,113
2025-05-17 17:02:11+00:00,0.00,6.23,100,113
2025-05-17 17:02:12+00:00,0.00,8.32,100,113
2025-05-17 17:02:13+00:00,0.01,6.81,98,113
2025-05-17 17:02:14+00:00,0.01,7.23,98,113
2025-05-17 17:02:15+00:00,0.01,10.99,100,114
2025-05-17 17:02:16+00:00,0.01,14.60,100,114
2025-05-17 17:02:17+00:00,0.01,12.86,100,114
2025-05-17 17:02:18+00:00,0.01,17.50,100,115
2025-05-17 17:02:19+00:00,0.02,12.86,100,114
2025-05-17 17:02:20+00:00,0.02,15.15,100,114
2025-05-17 17:02:21+00:00,0.02,17.50,100,115
2025-05-17 17:02:22+00:00,0.02,8.55,100,115
2025-05-17 17:02:23+00:00,0.02,14.60,100,114
2025-05-17 17:02:24+00:00,0.02,13.86,100,114
2025-05-17 17:02:25+00:00,0.03,5.48,100,114
2025-05-17 17:02:26+00:00,0.03,10.89,102,113
2025-05-17 17:02:27+00:00,0.03,11.54,100,113
2025-05-17 17:02:28+00:00,0.03,14.87,100,113
2025-05-17 17:02:29+00:00,0.03,19.46,100,113
2025-05-17 17:02:30+00:00,0.03,35.39,100,113
2025-05-17 17:02:31+00:00,0.03,29.75,100,113
2025-05-17 17:02:32+00:00,0.03,21.37,100,113
2025-05-17 17:02:33+00:00,0.03,32.76,100,113
2025-05-17 17:02:34+00:00,0.03,19.29,100,114
2025-05-17 17:02:35+00:00,0.03,12.97,102,114
2025-05-17 17:02:36+00:00,0.04,15.56,102,114
2025-05-17 17:02:37+00:00,0.04,15.14,102,115
2025-05-17 17:02:38+00:00,0.04,19.53,102,116
2025-05-17 17:02:39+00:00,0.04,12.10,102,116
2025-05-17 17:02:40+00:00,0.04,10.68,102,116
2025-05-17 17:02:41+00:00,0.04,12.96,102,118
2025-05-17 17:02:42+00:00,0.04,14.87,102,118
2025-05-17 17:02:43+00:00,0.04,18.75,102,118
2025-05-17 17:02:44+00:00,0.04,15.10,102,120
2025-05-17 17:02:45+00:00,0.05,15.18,104,120
2025-05-17 17:02:46+00:00,0.05,12.10,104,120
2025-05-17 17:02:47+00:00,0.05,18.21,104,120
2025-05-17 17:02:48+00:00,0.05,14.01,104,120
2025-05-17 17:02:49+00:00,0.05,15.18,104,120
2025-05-17 17:02:50+00:00,0.05,16.56,104,120
2025-05-17 17:02:51+00:00,0.05,13.95,104,120
