segment_id,start_ts,end_ts,dur_s,dist_km,avg_pace_min_km,avg_hr,avg_cad,tag,start_offset_s,end_offset_s,note,points_json
1,2025-05-20 16:32:56+00:00,2025-05-20 16:32:59+00:00,3,0.005,10.8,107.8,89.0,warm-up,40,43,,"[{""timestamp"": ""2025-05-20 16:32:56+00:00"", ""distance_cumulative_km"": 0.0017076284327253255, ""pace_min_per_km"": 380.64562965997044, ""cadence"": 92, ""heart_rate"": 107}, {""timestamp"": ""2025-05-20 16:32:57+00:00"", ""distance_cumulative_km"": 0.003343456461013075, ""pace_min_per_km"": 10.18854042832689, ""cadence"": 88, ""heart_rate"": 108}, {""timestamp"": ""2025-05-20 16:32:58+00:00"", ""distance_cumulative_km"": 0.004628474119252125, ""pace_min_per_km"": 12.970016320895963, ""cadence"": 88, ""heart_rate"": 108}, {""timestamp"": ""2025-05-20 16:32:59+00:00"", ""distance_cumulative_km"": 0.006321341726064573, ""pace_min_per_km"": 9.845247161047778, ""cadence"": 88, ""heart_rate"": 108}]"
2,2025-05-20 16:39:51+00:00,2025-05-20 16:39:53+00:00,2,0.001,26.7,173.3,98.0,mid-session,455,457,pause?,"[{""timestamp"": ""2025-05-20 16:39:51+00:00"", ""distance_cumulative_km"": 1.3764380430487935, ""pace_min_per_km"": 61.19683820934128, ""cadence"": 100, ""heart_rate"": 174}, {""timestamp"": ""2025-05-20 16:39:52+00:00"", ""distance_cumulative_km"": 1.3771114616731992, ""pace_min_per_km"": 24.749389749506587, ""cadence"": 100, ""heart_rate"": 173}, {""timestamp"": ""2025-05-20 16:39:53+00:00"", ""distance_cumulative_km"": 1.3776875247218996, ""pace_min_per_km"": 28.932076163549063, ""cadence"": 94, ""heart_rate"": 173}]"
3,2025-05-20 16:44:41+00:00,2025-05-20 16:44:44+00:00,3,0.001,80.6,143.0,109.0,mid-session,745,748,pause?,"[{""timestamp"": ""2025-05-20 16:44:41+00:00"", ""distance_cumulative_km"": 2.177916016750774, ""pace_min_per_km"": 40.39336708393735, ""cadence"": 0, ""heart_rate"": 143}, {""timestamp"": ""2025-05-20 16:44:42+00:00"", ""distance_cumulative_km"": 2.1780272118314468, ""pace_min_per_km"": 149.88702646822375, ""cadence"": 0, ""heart_rate"": 143}, {""timestamp"": ""2025-05-20 16:44:43+00:00"", ""distance_cumulative_km"": 2.1780272118314468, ""pace_min_per_km"": NaN, ""cadence"": 104, ""heart_rate"": 143}, {""timestamp"": ""2025-05-20 16:44:44+00:00"", ""distance_cumulative_km"": 2.1785359979055574, ""pace_min_per_km"": 32.757775513276194, ""cadence"": 114, ""heart_rate"": 143}]"
4,2025-05-20 16:49:31+00:00,2025-05-20 16:49:33+00:00,2,0.001,60.7,193.7,118.0,mid-session,1035,1037,pause?,"[{""timestamp"": ""2025-05-20 16:49:31+00:00"", ""distance_cumulative_km"": 3.214858236602422, ""pace_min_per_km"": 21.058535955341792, ""cadence"": 118, ""heart_rate"": 194}, {""timestamp"": ""2025-05-20 16:49:32+00:00"", ""distance_cumulative_km"": 3.2150412801312074, ""pace_min_per_km"": 91.05320527096572, ""cadence"": 0, ""heart_rate"": 194}, {""timestamp"": ""2025-05-20 16:49:33+00:00"", ""distance_cumulative_km"": 3.215407367189942, ""pace_min_per_km"": 45.52660249068302, ""cadence"": 0, ""heart_rate"": 193}]"
5,2025-05-20 16:50:34+00:00,2025-05-20 16:50:36+00:00,2,0.003,12.9,180.3,113.0,mid-session,1098,1100,pause?,"[{""timestamp"": ""2025-05-20 16:50:34+00:00"", ""distance_cumulative_km"": 3.354548908292478, ""pace_min_per_km"": 109.49231189663263, ""cadence"": 0, ""heart_rate"": 181}, {""timestamp"": ""2025-05-20 16:50:35+00:00"", ""distance_cumulative_km"": 3.355849369398413, ""pace_min_per_km"": 12.815992669011697, ""cadence"": 92, ""heart_rate"": 180}, {""timestamp"": ""2025-05-20 16:50:36+00:00"", ""distance_cumulative_km"": 3.357135489919257, ""pace_min_per_km"": 12.95889438811134, ""cadence"": 134, ""heart_rate"": 180}]"
6,2025-05-20 16:51:22+00:00,2025-05-20 16:51:24+00:00,2,0.002,21.1,183.7,137.3,mid-session,1146,1148,pause?,"[{""timestamp"": ""2025-05-20 16:51:22+00:00"", ""distance_cumulative_km"": 3.5037190845221984, ""pace_min_per_km"": 11.474661892063244, ""cadence"": 148, ""heart_rate"": 183}, {""timestamp"": ""2025-05-20 16:51:23+00:00"", ""distance_cumulative_km"": 3.504147426748982, ""pace_min_per_km"": 38.90977577707372, ""cadence"": 138, ""heart_rate"": 184}, {""timestamp"": ""2025-05-20 16:51:24+00:00"", ""distance_cumulative_km"": 3.5052974843279525, ""pace_min_per_km"": 14.492057010676845, ""cadence"": 126, ""heart_rate"": 184}]"
7,2025-05-20 16:56:03+00:00,2025-05-20 16:56:05+00:00,2,0.0,67.3,156.3,142.0,mid-session,1427,1429,pause?,"[{""timestamp"": ""2025-05-20 16:56:03+00:00"", ""distance_cumulative_km"": 4.280772025823181, ""pace_min_per_km"": 18.614939879628288, ""cadence"": 0, ""heart_rate"": 156}, {""timestamp"": ""2025-05-20 16:56:04+00:00"", ""distance_cumulative_km"": 4.280772025823181, ""pace_min_per_km"": NaN, ""cadence"": 0, ""heart_rate"": 157}, {""timestamp"": ""2025-05-20 16:56:05+00:00"", ""distance_cumulative_km"": 4.281267316699116, ""pace_min_per_km"": 33.65032713056186, ""cadence"": 142, ""heart_rate"": 156}]"
8,2025-05-20 17:00:47+00:00,2025-05-20 17:00:50+00:00,3,0.001,78.0,181.0,102.0,mid-session,1711,1714,pause?,"[{""timestamp"": ""2025-05-20 17:00:47+00:00"", ""distance_cumulative_km"": 5.152580258707564, ""pace_min_per_km"": 28.94570029326352, ""cadence"": 0, ""heart_rate"": 182}, {""timestamp"": ""2025-05-20 17:00:48+00:00"", ""distance_cumulative_km"": 5.152580258707564, ""pace_min_per_km"": NaN, ""cadence"": 0, ""heart_rate"": 181}, {""timestamp"": ""2025-05-20 17:00:49+00:00"", ""distance_cumulative_km"": 5.152580258707564, ""pace_min_per_km"": NaN, ""cadence"": 96, ""heart_rate"": 181}, {""timestamp"": ""2025-05-20 17:00:50+00:00"", ""distance_cumulative_km"": 5.153220947698348, ""pace_min_per_km"": 26.01371373589221, ""cadence"": 108, ""heart_rate"": 180}]"
9,2025-05-20 17:04:09+00:00,2025-05-20 17:04:11+00:00,2,0.0,94.3,182.0,127.3,mid-session,1913,1915,pause?,"[{""timestamp"": ""2025-05-20 17:04:09+00:00"", ""distance_cumulative_km"": 5.75075147917807, ""pace_min_per_km"": 29.71244512150109, ""cadence"": 128, ""heart_rate"": 183}, {""timestamp"": ""2025-05-20 17:04:10+00:00"", ""distance_cumulative_km"": 5.75075147917807, ""pace_min_per_km"": NaN, ""cadence"": 128, ""heart_rate"": 182}, {""timestamp"": ""2025-05-20 17:04:11+00:00"", ""distance_cumulative_km"": 5.751104823020263, ""pace_min_per_km"": 47.16850277211173, ""cadence"": 126, ""heart_rate"": 181}]"
10,2025-05-20 17:09:08+00:00,2025-05-20 17:09:10+00:00,2,0.003,11.7,169.0,95.3,mid-session,2212,2214,pause?,"[{""timestamp"": ""2025-05-20 17:09:08+00:00"", ""distance_cumulative_km"": 6.471565672414788, ""pace_min_per_km"": 13.389677476839275, ""cadence"": 94, ""heart_rate"": 170}, {""timestamp"": ""2025-05-20 17:09:09+00:00"", ""distance_cumulative_km"": 6.4726639948642415, ""pace_min_per_km"": 15.174687550356476, ""cadence"": 94, ""heart_rate"": 169}, {""timestamp"": ""2025-05-20 17:09:10+00:00"", ""distance_cumulative_km"": 6.474417167699883, ""pace_min_per_km"": 9.506592653713053, ""cadence"": 98, ""heart_rate"": 168}]"
