timestamp,distance_cumulative_km,pace_min_per_km,cadence,heart_rate
2025-05-20 16:32:16+00:00,,,0,99
2025-05-20 16:32:17+00:00,0.00,,0,99
2025-05-20 16:32:56+00:00,0.00,380.65,92,107
2025-05-20 16:32:57+00:00,0.00,10.19,88,108
2025-05-20 16:32:58+00:00,0.00,12.97,88,108
2025-05-20 16:32:59+00:00,0.01,9.85,88,108
2025-05-20 16:33:00+00:00,0.01,8.55,92,108
2025-05-20 16:33:01+00:00,0.01,8.08,92,109
2025-05-20 16:33:02+00:00,0.01,4.14,114,109
2025-05-20 16:33:03+00:00,0.02,4.22,114,109
2025-05-20 16:33:04+00:00,0.02,3.25,130,109
2025-05-20 16:34:42+00:00,0.35,13.16,152,160
2025-05-20 16:39:51+00:00,1.38,61.20,100,174
2025-05-20 16:39:52+00:00,1.38,24.75,100,173
2025-05-20 16:39:53+00:00,1.38,28.93,94,173
2025-05-20 16:39:54+00:00,1.38,8.39,102,172
2025-05-20 16:39:55+00:00,1.38,5.11,102,172
2025-05-20 16:39:56+00:00,1.39,4.58,106,172
2025-05-20 16:39:57+00:00,1.39,4.89,110,172
2025-05-20 16:39:58+00:00,1.39,3.44,120,173
2025-05-20 16:39:59+00:00,1.40,4.43,126,172
2025-05-20 16:40:00+00:00,1.40,4.23,136,173
2025-05-20 16:44:41+00:00,2.18,40.39,0,143
2025-05-20 16:44:42+00:00,2.18,149.89,0,143
2025-05-20 16:44:43+00:00,2.18,,104,143
2025-05-20 16:44:44+00:00,2.18,32.76,114,143
2025-05-20 16:49:31+00:00,3.21,21.06,118,194
2025-05-20 16:49:32+00:00,3.22,91.05,0,194
2025-05-20 16:49:33+00:00,3.22,45.53,0,193
2025-05-20 16:49:34+00:00,3.22,8.66,0,193
2025-05-20 16:50:34+00:00,3.35,109.49,0,181
2025-05-20 16:50:35+00:00,3.36,12.82,92,180
2025-05-20 16:50:36+00:00,3.36,12.96,134,180
2025-05-20 16:50:37+00:00,3.36,6.99,134,180
2025-05-20 16:51:22+00:00,3.50,11.47,148,183
2025-05-20 16:51:23+00:00,3.50,38.91,138,184
2025-05-20 16:51:24+00:00,3.51,14.49,126,184
2025-05-20 16:51:25+00:00,3.51,7.99,124,184
2025-05-20 16:51:26+00:00,3.51,6.22,124,184
2025-05-20 16:51:27+00:00,3.51,5.59,124,184
2025-05-20 16:51:28+00:00,3.52,5.49,126,184
2025-05-20 16:51:29+00:00,3.52,4.88,126,183
2025-05-20 16:51:30+00:00,3.52,4.99,136,182
2025-05-20 16:56:03+00:00,4.28,18.61,0,156
2025-05-20 16:56:04+00:00,4.28,,0,157
2025-05-20 16:56:05+00:00,4.28,33.65,142,156
2025-05-20 17:00:47+00:00,5.15,28.95,0,182
2025-05-20 17:00:48+00:00,5.15,,0,181
2025-05-20 17:00:49+00:00,5.15,,96,181
2025-05-20 17:00:50+00:00,5.15,26.01,108,180
2025-05-20 17:00:51+00:00,5.16,4.77,128,180
2025-05-20 17:04:09+00:00,5.75,29.71,128,183
2025-05-20 17:04:10+00:00,5.75,,128,182
2025-05-20 17:04:11+00:00,5.75,47.17,126,181
2025-05-20 17:05:49+00:00,5.89,67.69,0,154
2025-05-20 17:05:50+00:00,5.89,45.52,112,153
2025-05-20 17:05:51+00:00,5.89,8.17,112,153
2025-05-20 17:09:08+00:00,6.47,13.39,94,170
2025-05-20 17:09:09+00:00,6.47,15.17,94,169
2025-05-20 17:09:10+00:00,6.47,9.51,98,168
2025-05-20 17:09:11+00:00,6.48,6.50,102,168
2025-05-20 17:09:12+00:00,6.48,4.23,114,167
2025-05-20 17:09:13+00:00,6.48,4.77,120,167
2025-05-20 17:09:14+00:00,6.49,4.33,128,167
2025-05-20 17:10:44+00:00,6.70,42.36,220,178
2025-05-20 17:10:45+00:00,6.70,,138,178
2025-05-20 17:10:46+00:00,6.70,,114,178
2025-05-20 17:10:47+00:00,6.70,22.50,144,177
2025-05-20 17:14:51+00:00,7.50,12.72,90,178
2025-05-20 17:14:52+00:00,7.50,11.10,90,177
2025-05-20 17:14:53+00:00,7.50,7.86,92,176
2025-05-20 17:14:54+00:00,7.50,6.77,94,174
2025-05-20 17:14:55+00:00,7.50,6.20,98,174
2025-05-20 17:14:56+00:00,7.51,5.09,108,173
2025-05-20 17:14:57+00:00,7.51,5.48,116,171
2025-05-20 17:14:58+00:00,7.51,5.56,128,170
2025-05-20 17:17:27+00:00,7.95,12.93,98,179
2025-05-20 17:17:28+00:00,7.95,11.53,98,178
2025-05-20 17:17:29+00:00,7.96,9.93,102,177
2025-05-20 17:17:30+00:00,7.96,7.13,108,177
2025-05-20 17:17:31+00:00,7.96,5.54,114,176
2025-05-20 17:17:32+00:00,7.97,4.52,124,176
2025-05-20 17:17:33+00:00,7.97,3.84,130,175
2025-05-20 17:17:34+00:00,7.97,4.82,136,174
