timestamp,distance_cumulative_km,pace_min_per_km,cadence,heart_rate
2025-05-22 17:47:49+00:00,,3.84,90,84
2025-05-22 17:47:50+00:00,0.00,3.84,90,84
2025-05-22 17:47:51+00:00,0.01,6.38,90,83
2025-05-22 17:47:52+00:00,0.01,11.44,92,83
2025-05-22 17:47:53+00:00,0.01,20.71,92,83
2025-05-22 17:47:54+00:00,0.01,91.05,92,83
2025-05-22 17:47:55+00:00,0.01,182.11,96,83
2025-05-22 17:47:56+00:00,0.01,15.64,98,83
2025-05-22 17:47:57+00:00,0.01,17.50,100,84
2025-05-22 17:47:58+00:00,0.01,25.04,102,84
2025-05-22 17:47:59+00:00,0.01,115.73,102,84
2025-05-22 17:48:00+00:00,0.01,49.96,104,84
2025-05-22 17:48:01+00:00,0.01,28.93,106,84
2025-05-22 17:48:02+00:00,0.01,28.13,106,83
2025-05-22 17:48:03+00:00,0.01,43.80,106,83
2025-05-22 17:48:04+00:00,0.01,25.04,106,84
2025-05-22 17:48:05+00:00,0.02,49.96,106,84
2025-05-22 17:48:06+00:00,0.02,17.90,106,83
2025-05-22 17:48:07+00:00,0.02,15.15,106,84
2025-05-22 17:48:08+00:00,0.02,11.10,106,84
2025-05-22 17:48:09+00:00,0.02,11.10,106,85
2025-05-22 17:48:10+00:00,0.02,9.77,106,86
2025-05-22 17:48:11+00:00,0.02,11.55,106,84
2025-05-22 17:48:12+00:00,0.02,13.49,106,84
2025-05-22 17:48:13+00:00,0.03,13.49,106,82
2025-05-22 17:48:14+00:00,0.03,18.75,106,81
2025-05-22 17:48:15+00:00,0.03,21.78,108,83
2025-05-22 17:48:16+00:00,0.03,18.08,108,83
2025-05-22 17:48:17+00:00,0.03,12.59,108,85
2025-05-22 17:48:18+00:00,0.03,13.49,108,84
2025-05-22 17:48:19+00:00,0.03,22.51,108,84
2025-05-22 17:48:20+00:00,0.03,17.70,116,83
2025-05-22 17:48:21+00:00,0.03,26.12,114,85
2025-05-22 17:48:22+00:00,0.03,14.87,118,84
2025-05-22 17:48:23+00:00,0.04,10.60,124,85
2025-05-22 17:48:24+00:00,0.04,14.87,136,84
2025-05-22 17:48:25+00:00,0.04,10.09,146,85
2025-05-22 17:48:29+00:00,0.05,10.71,160,85
2025-05-22 17:48:30+00:00,0.05,12.10,150,86
2025-05-22 17:48:31+00:00,0.05,10.89,154,88
2025-05-22 17:49:25+00:00,0.20,9.77,138,153
2025-05-22 17:49:26+00:00,0.20,10.64,132,153
2025-05-22 17:49:27+00:00,0.20,10.05,132,153
2025-05-22 17:49:28+00:00,0.20,8.85,128,153
2025-05-22 17:49:29+00:00,0.20,10.71,122,153
2025-05-22 17:49:30+00:00,0.21,9.77,118,153
2025-05-22 17:49:31+00:00,0.21,11.35,114,152
2025-05-22 17:49:32+00:00,0.21,12.96,114,152
2025-05-22 17:49:33+00:00,0.21,14.01,112,152
2025-05-22 17:49:34+00:00,0.21,14.87,108,152
2025-05-22 17:49:35+00:00,0.21,14.01,106,152
2025-05-22 17:49:36+00:00,0.21,10.71,106,151
2025-05-22 17:49:37+00:00,0.22,12.14,106,151
2025-05-22 17:49:38+00:00,0.22,10.68,106,150
2025-05-22 17:49:39+00:00,0.22,9.09,106,149
2025-05-22 17:49:40+00:00,0.22,8.54,108,148
2025-05-22 17:49:41+00:00,0.22,8.85,108,147
2025-05-22 17:49:42+00:00,0.22,8.54,110,147
2025-05-22 17:49:43+00:00,0.23,7.92,112,146
2025-05-22 17:49:44+00:00,0.23,6.74,116,146
2025-05-22 17:49:45+00:00,0.23,7.28,124,146
