timestamp,distance_cumulative_km,pace_min_per_km,cadence,heart_rate
2025-05-27 17:11:37+00:00,,20.60,78,91
2025-05-27 17:11:38+00:00,0.00,20.60,78,91
2025-05-27 17:11:39+00:00,0.00,47.17,0,91
2025-05-27 17:11:40+00:00,0.00,47.17,0,92
2025-05-27 17:11:41+00:00,0.00,14.49,0,92
2025-05-27 17:11:42+00:00,0.00,23.15,92,93
2025-05-27 17:11:43+00:00,0.00,13.80,92,93
2025-05-27 17:11:44+00:00,0.01,11.93,92,93
2025-05-27 17:11:45+00:00,0.01,13.12,96,93
2025-05-27 17:11:46+00:00,0.01,9.43,96,94
2025-05-27 17:11:47+00:00,0.01,11.25,96,95
2025-05-27 17:11:48+00:00,0.01,13.54,96,95
2025-05-27 17:11:49+00:00,0.01,11.10,96,95
2025-05-27 17:11:50+00:00,0.01,10.47,96,94
2025-05-27 17:11:51+00:00,0.02,10.36,96,96
2025-05-27 17:11:52+00:00,0.02,11.80,96,94
2025-05-27 17:11:53+00:00,0.02,8.96,98,95
2025-05-27 17:11:54+00:00,0.02,7.87,100,94
2025-05-27 17:11:55+00:00,0.03,5.19,104,95
2025-05-27 17:11:56+00:00,0.03,5.49,114,97
2025-05-27 17:11:57+00:00,0.03,5.46,120,97
2025-05-27 17:11:58+00:00,0.03,5.51,126,98
2025-05-27 17:11:59+00:00,0.04,6.26,132,99
2025-05-27 17:12:51+00:00,0.16,17.31,158,139
2025-05-27 17:14:00+00:00,0.33,9.51,164,147
2025-05-27 17:14:01+00:00,0.33,11.25,156,147
2025-05-27 17:14:02+00:00,0.34,13.12,148,147
2025-05-27 17:14:03+00:00,0.34,17.80,148,148
2025-05-27 17:14:04+00:00,0.34,12.86,140,148
2025-05-27 17:14:05+00:00,0.34,16.83,134,148
2025-05-27 17:14:06+00:00,0.34,18.02,126,148
2025-05-27 17:14:07+00:00,0.34,57.86,126,148
2025-05-27 17:14:08+00:00,0.34,115.73,118,147
2025-05-27 17:14:09+00:00,0.34,91.05,118,146
2025-05-27 17:14:10+00:00,0.34,77.82,0,146
2025-05-27 17:14:11+00:00,0.34,,0,145
2025-05-27 17:14:12+00:00,0.34,182.11,0,144
2025-05-27 17:14:13+00:00,0.34,,0,143
2025-05-27 17:14:14+00:00,0.34,,0,142
2025-05-27 17:14:15+00:00,0.34,38.91,0,141
2025-05-27 17:14:16+00:00,0.34,14.49,0,141
2025-05-27 17:14:17+00:00,0.34,6.56,84,140
2025-05-27 17:14:18+00:00,0.35,6.55,112,139
2025-05-27 17:14:23+00:00,0.36,9.59,154,137
2025-05-27 17:14:24+00:00,0.36,14.52,148,138
2025-05-27 17:14:25+00:00,0.36,24.58,142,138
2025-05-27 17:14:26+00:00,0.36,91.05,142,138
2025-05-27 17:14:28+00:00,0.36,,0,137
2025-05-27 17:14:29+00:00,0.36,149.89,0,137
2025-05-27 17:14:30+00:00,0.36,,0,138
2025-05-27 17:14:31+00:00,0.36,149.89,0,135
2025-05-27 17:14:32+00:00,0.36,,0,135
2025-05-27 17:14:33+00:00,0.36,182.11,0,135
2025-05-27 17:14:34+00:00,0.36,69.30,0,135
2025-05-27 17:14:35+00:00,0.36,48.18,0,134
2025-05-27 17:14:36+00:00,0.36,115.73,0,133
2025-05-27 17:14:37+00:00,0.36,74.94,0,133
2025-05-27 17:14:38+00:00,0.36,115.73,0,133
2025-05-27 17:14:39+00:00,0.36,149.89,0,133
2025-05-27 17:14:40+00:00,0.36,,0,133
2025-05-27 17:14:41+00:00,0.36,,0,133
2025-05-27 17:14:42+00:00,0.36,,0,132
2025-05-27 17:14:43+00:00,0.36,,0,132
2025-05-27 17:14:44+00:00,0.36,,0,131
2025-05-27 17:14:45+00:00,0.36,,0,130
2025-05-27 17:14:46+00:00,0.36,,0,129
2025-05-27 17:14:47+00:00,0.36,,0,127
2025-05-27 17:14:48+00:00,0.36,,0,127
2025-05-27 17:14:49+00:00,0.36,,0,126
2025-05-27 17:14:50+00:00,0.36,,0,125
2025-05-27 17:14:51+00:00,0.36,,0,124
2025-05-27 17:14:52+00:00,0.36,,0,123
2025-05-27 17:14:53+00:00,0.36,,0,123
2025-05-27 17:14:54+00:00,0.36,182.11,0,122
2025-05-27 17:14:55+00:00,0.36,149.89,0,123
2025-05-27 17:14:56+00:00,0.36,74.94,74,123
2025-05-27 17:14:57+00:00,0.36,29.58,82,123
2025-05-27 17:14:58+00:00,0.37,5.75,106,124
2025-05-27 17:19:22+00:00,1.13,9.57,158,169
2025-05-27 17:19:23+00:00,1.13,11.35,154,169
2025-05-27 17:19:24+00:00,1.13,13.77,146,169
2025-05-27 17:19:25+00:00,1.13,13.54,140,169
2025-05-27 17:19:26+00:00,1.13,10.89,134,168
2025-05-27 17:19:27+00:00,1.13,9.92,130,168
2025-05-27 17:19:28+00:00,1.13,9.04,130,168
2025-05-27 17:19:29+00:00,1.14,10.12,124,168
2025-05-27 17:19:30+00:00,1.14,10.68,120,167
2025-05-27 17:19:31+00:00,1.14,10.68,116,167
2025-05-27 17:19:32+00:00,1.14,11.25,114,167
2025-05-27 17:19:33+00:00,1.14,11.98,110,167
2025-05-27 17:19:34+00:00,1.14,11.35,108,166
2025-05-27 17:19:35+00:00,1.14,11.98,108,165
2025-05-27 17:19:36+00:00,1.15,10.64,110,163
2025-05-27 17:19:37+00:00,1.15,10.64,110,162
2025-05-27 17:19:38+00:00,1.15,9.85,108,160
2025-05-27 17:19:39+00:00,1.15,9.41,108,159
2025-05-27 17:19:40+00:00,1.15,10.12,108,159
2025-05-27 17:19:41+00:00,1.15,9.51,108,159
2025-05-27 17:19:42+00:00,1.16,10.68,108,159
2025-05-27 17:19:43+00:00,1.16,13.49,108,158
2025-05-27 17:19:44+00:00,1.16,10.09,108,158
2025-05-27 17:19:45+00:00,1.16,10.30,108,159
2025-05-27 17:19:46+00:00,1.16,9.77,108,159
2025-05-27 17:19:47+00:00,1.16,8.71,106,159
2025-05-27 17:19:48+00:00,1.17,10.47,106,160
2025-05-27 17:19:49+00:00,1.17,9.51,106,160
2025-05-27 17:19:50+00:00,1.17,9.92,108,159
2025-05-27 17:19:51+00:00,1.17,10.47,108,159
2025-05-27 17:19:52+00:00,1.17,10.09,108,159
2025-05-27 17:19:53+00:00,1.17,10.60,108,158
2025-05-27 17:19:54+00:00,1.18,11.10,108,158
2025-05-27 17:19:55+00:00,1.18,10.47,108,157
2025-05-27 17:19:56+00:00,1.18,11.35,108,158
2025-05-27 17:19:57+00:00,1.18,10.89,108,159
2025-05-27 17:19:58+00:00,1.18,9.04,110,157
2025-05-27 17:19:59+00:00,1.18,8.28,110,156
2025-05-27 17:20:00+00:00,1.19,8.66,110,156
2025-05-27 17:20:01+00:00,1.19,7.91,112,153
2025-05-27 17:20:02+00:00,1.19,8.26,112,151
2025-05-27 17:20:03+00:00,1.19,7.55,112,149
2025-05-27 17:20:04+00:00,1.19,8.33,114,148
2025-05-27 17:20:05+00:00,1.20,8.45,114,147
2025-05-27 17:20:06+00:00,1.20,8.61,114,146
2025-05-27 17:20:07+00:00,1.20,9.57,116,145
2025-05-27 17:20:08+00:00,1.20,12.96,114,144
2025-05-27 17:20:09+00:00,1.20,11.98,114,143
2025-05-27 17:20:10+00:00,1.20,12.22,114,142
2025-05-27 17:20:11+00:00,1.21,11.55,114,142
2025-05-27 17:20:12+00:00,1.21,10.12,112,141
2025-05-27 17:20:13+00:00,1.21,11.25,112,140
2025-05-27 17:20:14+00:00,1.21,12.96,110,139
2025-05-27 17:20:15+00:00,1.21,8.54,110,138
2025-05-27 17:20:16+00:00,1.21,8.19,110,137
2025-05-27 17:20:17+00:00,1.22,7.43,110,137
2025-05-27 17:20:18+00:00,1.22,6.90,110,136
2025-05-27 17:20:19+00:00,1.22,8.45,110,134
2025-05-27 17:20:20+00:00,1.22,8.71,110,134
2025-05-27 17:20:21+00:00,1.22,10.64,110,133
2025-05-27 17:20:22+00:00,1.23,8.54,110,133
2025-05-27 17:20:23+00:00,1.23,6.68,118,132
2025-05-27 17:20:24+00:00,1.23,6.27,122,132
2025-05-27 17:20:25+00:00,1.23,5.86,126,132
2025-05-27 17:20:26+00:00,1.24,6.23,136,131
2025-05-27 17:24:17+00:00,1.89,10.47,162,165
2025-05-27 17:24:18+00:00,1.89,10.03,152,165
