timestamp,distance_cumulative_km,pace_min_per_km,cadence,heart_rate
2025-05-28 17:22:11+00:00,,7.86,94,98
2025-05-28 17:22:12+00:00,0.00,7.86,94,98
2025-05-28 17:22:13+00:00,0.00,8.63,94,98
2025-05-28 17:22:14+00:00,0.00,23.07,94,99
2025-05-28 17:22:15+00:00,0.01,14.72,96,97
2025-05-28 17:22:16+00:00,0.01,13.49,98,96
2025-05-28 17:22:17+00:00,0.01,6.85,98,95
2025-05-28 17:22:18+00:00,0.01,6.04,98,95
2025-05-28 17:22:19+00:00,0.01,10.03,98,94
2025-05-28 17:22:20+00:00,0.02,7.55,98,94
2025-05-28 17:22:21+00:00,0.02,12.14,100,94
2025-05-28 17:22:22+00:00,0.02,13.95,100,95
2025-05-28 17:22:23+00:00,0.02,9.13,100,95
2025-05-28 17:22:24+00:00,0.02,12.14,100,96
2025-05-28 17:22:25+00:00,0.02,12.96,100,96
2025-05-28 17:22:26+00:00,0.02,11.25,100,96
2025-05-28 17:22:27+00:00,0.03,9.58,98,97
2025-05-28 17:22:28+00:00,0.03,7.59,98,97
2025-05-28 17:22:29+00:00,0.03,8.23,100,97
2025-05-28 17:22:30+00:00,0.03,6.94,102,97
2025-05-28 17:22:31+00:00,0.04,6.09,106,97
2025-05-28 17:22:32+00:00,0.04,5.01,114,98
2025-05-28 17:22:33+00:00,0.04,5.95,120,99
2025-05-28 17:22:34+00:00,0.04,6.45,126,98
2025-05-28 17:22:42+00:00,0.07,9.57,158,112
2025-05-28 17:22:43+00:00,0.07,10.47,152,114
2025-05-28 17:22:44+00:00,0.07,10.56,146,116
2025-05-28 17:22:45+00:00,0.07,11.12,136,118
2025-05-28 17:22:46+00:00,0.08,7.91,130,120
2025-05-28 17:22:47+00:00,0.08,7.08,126,122
2025-05-28 17:22:48+00:00,0.08,3.81,126,123
2025-05-28 17:22:49+00:00,0.09,4.21,126,124
2025-05-28 17:22:50+00:00,0.09,6.45,128,125
2025-05-28 17:22:51+00:00,0.09,5.80,128,125
2025-05-28 17:22:52+00:00,0.10,4.19,136,126
2025-05-28 17:23:27+00:00,0.19,11.10,156,141
2025-05-28 17:23:29+00:00,0.20,10.68,156,142
2025-05-28 17:23:32+00:00,0.20,10.09,154,143
2025-05-28 17:23:45+00:00,0.23,10.71,152,144
2025-05-28 17:24:03+00:00,0.28,9.57,150,147
2025-05-28 17:24:04+00:00,0.28,10.12,144,147
2025-05-28 17:24:05+00:00,0.28,10.30,138,147
2025-05-28 17:24:06+00:00,0.28,8.85,132,147
2025-05-28 17:24:07+00:00,0.28,10.71,132,147
2025-05-28 17:24:08+00:00,0.28,13.01,126,147
2025-05-28 17:24:09+00:00,0.29,13.95,122,145
2025-05-28 17:24:10+00:00,0.29,16.56,116,143
2025-05-28 17:24:11+00:00,0.29,13.01,112,141
2025-05-28 17:24:12+00:00,0.29,10.71,108,140
2025-05-28 17:24:13+00:00,0.29,10.12,106,139
2025-05-28 17:24:14+00:00,0.29,10.09,104,138
2025-05-28 17:24:15+00:00,0.29,10.68,104,137
2025-05-28 17:24:16+00:00,0.30,12.10,104,137
2025-05-28 17:24:17+00:00,0.30,14.52,104,136
2025-05-28 17:24:18+00:00,0.30,14.01,104,135
2025-05-28 17:24:19+00:00,0.30,10.09,104,134
2025-05-28 17:24:20+00:00,0.30,10.47,104,133
2025-05-28 17:24:21+00:00,0.30,11.10,104,132
2025-05-28 17:24:22+00:00,0.30,9.92,106,132
2025-05-28 17:24:23+00:00,0.31,10.03,106,131
2025-05-28 17:24:24+00:00,0.31,12.10,106,130
2025-05-28 17:24:25+00:00,0.31,14.07,106,130
2025-05-28 17:24:26+00:00,0.31,11.98,106,130
2025-05-28 17:24:27+00:00,0.31,10.68,106,129
2025-05-28 17:24:28+00:00,0.31,9.58,106,128
2025-05-28 17:24:29+00:00,0.32,9.58,106,127
2025-05-28 17:24:30+00:00,0.32,7.91,106,125
2025-05-28 17:24:31+00:00,0.32,9.59,106,122
2025-05-28 17:24:32+00:00,0.32,9.92,106,120
2025-05-28 17:24:33+00:00,0.32,12.10,108,118
2025-05-28 17:24:34+00:00,0.32,16.46,108,117
2025-05-28 17:24:35+00:00,0.32,8.66,108,116
2025-05-28 17:24:36+00:00,0.33,11.38,108,116
2025-05-28 17:24:37+00:00,0.33,13.01,108,115
2025-05-28 17:24:38+00:00,0.33,13.01,108,115
2025-05-28 17:24:39+00:00,0.33,9.51,108,115
2025-05-28 17:24:40+00:00,0.33,7.15,110,114
2025-05-28 17:24:41+00:00,0.33,8.96,110,114
2025-05-28 17:24:42+00:00,0.34,10.60,110,113
2025-05-28 17:24:43+00:00,0.34,10.09,110,113
2025-05-28 17:24:44+00:00,0.34,13.12,110,113
2025-05-28 17:24:45+00:00,0.34,8.71,110,113
2025-05-28 17:24:46+00:00,0.34,9.92,110,112
2025-05-28 17:24:47+00:00,0.34,9.04,110,111
2025-05-28 17:24:48+00:00,0.35,12.96,110,110
2025-05-28 17:24:49+00:00,0.35,11.55,110,108
2025-05-28 17:24:50+00:00,0.35,8.04,110,107
2025-05-28 17:24:51+00:00,0.35,9.57,110,106
2025-05-28 17:24:52+00:00,0.35,8.71,110,106
2025-05-28 17:24:53+00:00,0.36,9.09,110,105
2025-05-28 17:24:54+00:00,0.36,16.17,110,104
2025-05-28 17:24:55+00:00,0.36,11.98,110,104
2025-05-28 17:24:56+00:00,0.36,15.10,110,103
2025-05-28 17:24:57+00:00,0.36,10.92,110,104
2025-05-28 17:24:58+00:00,0.36,10.71,110,104
2025-05-28 17:24:59+00:00,0.36,14.01,108,105
2025-05-28 17:25:00+00:00,0.36,12.14,108,105
2025-05-28 17:25:01+00:00,0.37,12.10,108,106
2025-05-28 17:25:02+00:00,0.37,13.49,108,107
2025-05-28 17:25:03+00:00,0.37,9.41,108,108
2025-05-28 17:25:04+00:00,0.37,10.09,108,108
2025-05-28 17:25:05+00:00,0.37,10.68,108,109
2025-05-28 17:25:06+00:00,0.37,11.35,108,109
2025-05-28 17:25:07+00:00,0.38,8.27,108,109
2025-05-28 17:25:08+00:00,0.38,14.01,108,109
2025-05-28 17:25:09+00:00,0.38,18.08,106,109
2025-05-28 17:25:10+00:00,0.38,9.09,106,109
2025-05-28 17:25:11+00:00,0.38,11.38,108,108
2025-05-28 17:25:12+00:00,0.38,11.35,108,107
2025-05-28 17:25:13+00:00,0.38,12.96,108,106
2025-05-28 17:25:14+00:00,0.38,11.38,108,106
2025-05-28 17:25:15+00:00,0.39,10.03,108,105
2025-05-28 17:25:16+00:00,0.39,9.58,108,103
2025-05-28 17:25:17+00:00,0.39,13.01,108,104
2025-05-28 17:25:18+00:00,0.39,19.53,108,104
2025-05-28 17:25:19+00:00,0.39,13.95,108,104
2025-05-28 17:25:20+00:00,0.39,10.68,110,105
2025-05-28 17:25:21+00:00,0.40,7.25,110,104
2025-05-28 17:25:22+00:00,0.40,9.51,110,104
2025-05-28 17:25:23+00:00,0.40,10.09,110,104
2025-05-28 17:25:24+00:00,0.40,10.71,110,104
2025-05-28 17:25:25+00:00,0.40,6.15,112,104
2025-05-28 17:25:26+00:00,0.41,5.87,116,104
2025-05-28 17:25:27+00:00,0.41,7.57,124,104
2025-05-28 17:25:28+00:00,0.41,4.67,128,103
2025-05-28 17:25:29+00:00,0.41,6.74,132,103
2025-05-28 17:26:20+00:00,0.55,9.57,156,146
2025-05-28 17:28:22+00:00,0.90,12.69,144,160
2025-05-28 17:28:23+00:00,0.90,10.09,140,160
2025-05-28 17:28:24+00:00,0.90,8.19,134,160
2025-05-28 17:28:25+00:00,0.90,9.15,130,160
2025-05-28 17:28:26+00:00,0.91,12.59,126,159
2025-05-28 17:28:27+00:00,0.91,8.95,122,158
2025-05-28 17:28:28+00:00,0.91,13.80,118,156
2025-05-28 17:28:29+00:00,0.91,10.56,114,155
2025-05-28 17:28:30+00:00,0.91,9.58,110,155
2025-05-28 17:28:31+00:00,0.91,13.10,108,154
