timestamp,distance_cumulative_km,pace_min_per_km,cadence,heart_rate
2025-05-31 15:52:52+00:00,,60.70,0,113
2025-05-31 15:52:53+00:00,0.00,60.70,0,114
2025-05-31 15:52:54+00:00,0.00,115.73,0,112
2025-05-31 15:52:55+00:00,0.00,91.05,96,111
2025-05-31 15:52:56+00:00,0.00,48.18,100,113
2025-05-31 15:52:57+00:00,0.00,8.75,110,113
2025-05-31 15:52:58+00:00,0.00,11.10,110,111
2025-05-31 15:52:59+00:00,0.01,8.33,110,111
2025-05-31 15:53:00+00:00,0.01,9.77,110,111
2025-05-31 15:53:01+00:00,0.01,11.80,110,110
2025-05-31 15:53:02+00:00,0.01,9.92,108,111
2025-05-31 15:53:03+00:00,0.01,9.41,108,109
2025-05-31 15:53:04+00:00,0.01,10.47,108,109
2025-05-31 15:53:05+00:00,0.02,7.82,108,109
2025-05-31 15:53:06+00:00,0.02,7.92,110,107
2025-05-31 15:53:07+00:00,0.02,6.28,116,106
2025-05-31 15:53:08+00:00,0.02,6.74,120,107
2025-05-31 15:53:09+00:00,0.03,6.50,124,105
2025-05-31 15:53:10+00:00,0.03,8.27,134,105
2025-05-31 15:53:30+00:00,0.07,9.92,152,119
2025-05-31 15:53:34+00:00,0.08,9.51,154,120
2025-05-31 15:53:39+00:00,0.09,9.58,154,124
2025-05-31 15:53:54+00:00,0.13,12.10,152,137
2025-05-31 15:53:55+00:00,0.13,11.10,150,137
2025-05-31 15:53:56+00:00,0.13,10.60,150,136
2025-05-31 15:53:57+00:00,0.13,10.12,148,138
2025-05-31 15:53:59+00:00,0.14,10.64,146,138
2025-05-31 15:54:20+00:00,0.18,10.09,152,144
2025-05-31 15:54:22+00:00,0.18,10.68,152,145
2025-05-31 15:54:30+00:00,0.20,9.57,154,149
2025-05-31 15:54:33+00:00,0.20,10.09,152,150
2025-05-31 15:55:00+00:00,0.26,9.51,154,150
2025-05-31 15:55:33+00:00,0.33,10.09,154,151
2025-05-31 15:55:37+00:00,0.34,9.57,154,151
2025-05-31 15:55:41+00:00,0.35,11.10,152,153
2025-05-31 15:55:42+00:00,0.35,9.51,150,154
2025-05-31 15:55:44+00:00,0.35,11.38,140,154
2025-05-31 15:55:45+00:00,0.35,10.68,134,154
2025-05-31 15:55:46+00:00,0.35,8.66,130,153
2025-05-31 15:55:47+00:00,0.36,15.10,126,152
2025-05-31 15:55:48+00:00,0.36,8.96,122,151
2025-05-31 15:55:49+00:00,0.36,11.25,118,150
2025-05-31 15:55:50+00:00,0.36,13.49,114,150
2025-05-31 15:55:51+00:00,0.36,13.77,114,149
2025-05-31 15:55:52+00:00,0.36,9.09,112,149
2025-05-31 15:55:53+00:00,0.36,10.60,108,149
2025-05-31 15:55:54+00:00,0.37,12.96,108,148
2025-05-31 15:55:55+00:00,0.37,9.11,108,148
2025-05-31 15:55:56+00:00,0.37,15.18,108,148
2025-05-31 15:55:57+00:00,0.37,10.09,108,148
2025-05-31 15:55:58+00:00,0.37,10.12,108,147
2025-05-31 15:55:59+00:00,0.37,9.58,108,147
2025-05-31 15:56:00+00:00,0.37,16.56,110,146
2025-05-31 15:56:01+00:00,0.38,9.58,110,146
2025-05-31 15:56:02+00:00,0.38,15.10,110,146
2025-05-31 15:56:03+00:00,0.38,12.14,110,145
2025-05-31 15:56:04+00:00,0.38,8.27,110,145
2025-05-31 15:56:05+00:00,0.38,8.67,110,148
2025-05-31 15:56:06+00:00,0.38,10.60,110,144
2025-05-31 15:56:07+00:00,0.39,15.10,110,145
2025-05-31 15:56:08+00:00,0.39,9.92,110,146
2025-05-31 15:56:09+00:00,0.39,14.01,110,147
2025-05-31 15:56:10+00:00,0.39,7.28,110,147
2025-05-31 15:56:11+00:00,0.39,10.12,110,146
2025-05-31 15:56:12+00:00,0.39,9.57,110,145
2025-05-31 15:56:13+00:00,0.40,10.12,110,143
2025-05-31 15:56:14+00:00,0.40,13.01,110,143
2025-05-31 15:56:15+00:00,0.40,9.57,110,142
2025-05-31 15:56:16+00:00,0.40,16.46,110,142
2025-05-31 15:56:17+00:00,0.40,10.09,110,141
2025-05-31 15:56:18+00:00,0.40,13.77,110,139
2025-05-31 15:56:19+00:00,0.40,9.09,110,138
2025-05-31 15:56:20+00:00,0.41,10.12,110,137
2025-05-31 15:56:21+00:00,0.41,9.04,110,136
2025-05-31 15:56:22+00:00,0.41,8.96,110,136
2025-05-31 15:56:23+00:00,0.41,13.77,110,135
2025-05-31 15:56:24+00:00,0.41,11.35,110,134
2025-05-31 15:56:25+00:00,0.41,11.38,110,133
2025-05-31 15:56:26+00:00,0.42,12.10,110,132
2025-05-31 15:56:27+00:00,0.42,9.58,112,132
2025-05-31 15:56:28+00:00,0.42,10.12,112,131
2025-05-31 15:56:29+00:00,0.42,11.38,110,130
2025-05-31 15:56:30+00:00,0.42,10.03,110,130
2025-05-31 15:56:31+00:00,0.42,11.25,112,130
2025-05-31 15:56:32+00:00,0.43,8.28,112,129
2025-05-31 15:56:33+00:00,0.43,10.60,112,129
2025-05-31 15:56:34+00:00,0.43,12.10,112,128
2025-05-31 15:56:35+00:00,0.43,10.71,112,128
2025-05-31 15:56:36+00:00,0.43,9.57,110,127
2025-05-31 15:56:37+00:00,0.43,11.10,110,127
2025-05-31 15:56:38+00:00,0.44,9.57,110,127
2025-05-31 15:56:39+00:00,0.44,14.87,110,126
2025-05-31 15:56:40+00:00,0.44,15.10,108,125
2025-05-31 15:56:41+00:00,0.44,12.69,108,124
2025-05-31 15:56:42+00:00,0.44,13.12,106,121
2025-05-31 15:56:43+00:00,0.44,15.10,106,120
2025-05-31 15:56:44+00:00,0.44,36.42,106,123
2025-05-31 15:56:45+00:00,0.44,38.91,106,123
2025-05-31 15:56:46+00:00,0.44,115.73,0,122
2025-05-31 15:56:47+00:00,0.44,47.17,0,122
2025-05-31 15:56:48+00:00,0.44,57.86,0,122
2025-05-31 15:56:49+00:00,0.44,43.56,0,122
2025-05-31 15:56:50+00:00,0.44,25.94,0,121
2025-05-31 15:56:51+00:00,0.44,47.17,0,121
2025-05-31 15:56:52+00:00,0.44,,0,120
2025-05-31 15:56:53+00:00,0.44,91.05,0,120
2025-05-31 15:56:54+00:00,0.44,,0,119
2025-05-31 15:56:55+00:00,0.44,115.73,0,118
2025-05-31 15:56:56+00:00,0.44,60.70,0,117
2025-05-31 15:56:57+00:00,0.44,,0,116
2025-05-31 15:56:58+00:00,0.44,,0,116
2025-05-31 15:56:59+00:00,0.44,,0,115
2025-05-31 15:57:00+00:00,0.44,,0,114
2025-05-31 15:57:01+00:00,0.44,,0,113
2025-05-31 15:57:02+00:00,0.44,,0,112
2025-05-31 15:57:03+00:00,0.44,,0,112
2025-05-31 15:57:04+00:00,0.44,,0,111
2025-05-31 15:57:05+00:00,0.44,,0,110
2025-05-31 15:57:06+00:00,0.44,,0,110
2025-05-31 15:57:07+00:00,0.44,,0,109
2025-05-31 15:57:08+00:00,0.44,,0,109
2025-05-31 15:57:09+00:00,0.44,,0,109
2025-05-31 15:57:10+00:00,0.44,,0,108
2025-05-31 15:57:11+00:00,0.44,182.11,0,109
2025-05-31 15:57:12+00:00,0.44,,0,108
2025-05-31 15:57:13+00:00,0.44,182.11,0,108
2025-05-31 15:57:14+00:00,0.44,,0,107
2025-05-31 15:57:15+00:00,0.44,,0,107
2025-05-31 15:57:16+00:00,0.44,182.11,0,107
2025-05-31 15:57:17+00:00,0.44,,0,106
2025-05-31 15:57:18+00:00,0.45,182.11,0,106
2025-05-31 15:57:19+00:00,0.45,,0,106
2025-05-31 15:57:20+00:00,0.45,,0,105
2025-05-31 15:57:21+00:00,0.45,182.11,0,105
2025-05-31 15:57:22+00:00,0.45,,0,106
2025-05-31 15:57:23+00:00,0.45,,106,105
2025-05-31 15:57:24+00:00,0.45,,104,105
2025-05-31 15:57:25+00:00,0.45,43.56,102,105
2025-05-31 15:57:26+00:00,0.45,9.51,106,105
2025-05-31 15:57:27+00:00,0.45,6.68,108,105
2025-05-31 15:57:28+00:00,0.45,6.48,108,105
2025-05-31 15:57:29+00:00,0.45,7.58,110,105
2025-05-31 15:57:30+00:00,0.46,5.69,118,105
2025-05-31 15:57:31+00:00,0.46,5.80,122,103
2025-05-31 15:57:32+00:00,0.46,5.10,128,105
2025-05-31 15:57:33+00:00,0.47,6.97,132,105
2025-05-31 15:58:57+00:00,0.77,13.95,156,176
2025-05-31 15:58:58+00:00,0.77,11.12,146,176
2025-05-31 15:58:59+00:00,0.77,29.98,146,176
2025-05-31 15:59:00+00:00,0.77,25.04,136,175
2025-05-31 15:59:01+00:00,0.77,60.70,120,175
2025-05-31 15:59:02+00:00,0.77,115.73,120,174
