timestamp,distance_cumulative_km,pace_min_per_km,cadence,heart_rate
2025-06-04 16:49:18+00:00,,,94,86
2025-06-04 16:49:19+00:00,0.00,,94,86
2025-06-04 16:49:20+00:00,0.00,,96,86
2025-06-04 16:49:21+00:00,0.00,,100,86
2025-06-04 16:49:22+00:00,0.00,,102,86
2025-06-04 16:49:23+00:00,0.00,,102,86
2025-06-04 16:49:24+00:00,0.00,,102,85
2025-06-04 16:49:25+00:00,0.00,,102,86
2025-06-04 16:49:26+00:00,0.00,,102,84
2025-06-04 16:49:27+00:00,0.00,,102,84
2025-06-04 16:49:28+00:00,0.00,,102,84
2025-06-04 16:49:29+00:00,0.00,,100,81
2025-06-04 16:49:30+00:00,0.00,8.63,100,83
2025-06-04 16:49:31+00:00,0.00,7.78,98,83
2025-06-04 16:49:32+00:00,0.01,8.76,98,83
2025-06-04 16:49:33+00:00,0.01,12.82,96,85
2025-06-04 16:49:34+00:00,0.01,21.78,96,84
2025-06-04 16:49:35+00:00,0.01,77.82,94,86
2025-06-04 16:49:36+00:00,0.01,15.56,94,84
2025-06-04 16:49:37+00:00,0.01,21.78,92,83
2025-06-04 16:49:38+00:00,0.01,11.55,92,83
2025-06-04 16:49:39+00:00,0.01,18.35,92,86
2025-06-04 16:49:40+00:00,0.01,19.46,92,83
2025-06-04 16:49:41+00:00,0.01,14.47,92,82
2025-06-04 16:49:42+00:00,0.02,17.80,92,82
2025-06-04 16:49:43+00:00,0.02,20.05,92,81
2025-06-04 16:49:44+00:00,0.02,22.51,92,81
2025-06-04 16:49:45+00:00,0.02,18.13,92,81
2025-06-04 16:49:46+00:00,0.02,22.76,92,83
2025-06-04 16:49:47+00:00,0.02,18.08,92,82
2025-06-04 16:49:48+00:00,0.02,14.52,94,82
2025-06-04 16:49:49+00:00,0.02,15.60,94,82
2025-06-04 16:49:50+00:00,0.02,24.58,94,82
2025-06-04 16:49:51+00:00,0.02,29.58,94,81
2025-06-04 16:49:52+00:00,0.02,14.49,96,80
2025-06-04 16:49:53+00:00,0.03,12.10,96,79
2025-06-04 16:49:54+00:00,0.03,12.10,96,78
2025-06-04 16:49:55+00:00,0.03,8.61,98,77
2025-06-04 16:49:56+00:00,0.03,8.54,98,79
2025-06-04 16:49:57+00:00,0.03,9.09,100,80
2025-06-04 16:49:58+00:00,0.03,9.58,100,78
2025-06-04 16:49:59+00:00,0.04,10.05,100,79
2025-06-04 16:50:00+00:00,0.04,9.09,100,78
2025-06-04 16:50:01+00:00,0.04,7.28,100,77
2025-06-04 16:50:02+00:00,0.04,6.23,108,78
2025-06-04 16:50:03+00:00,0.05,4.88,112,78
2025-06-04 16:50:04+00:00,0.05,3.63,122,76
2025-06-04 16:50:05+00:00,0.05,4.21,128,77
2025-06-04 16:50:06+00:00,0.06,5.46,134,78
2025-06-04 16:51:35+00:00,0.31,9.51,160,155
2025-06-04 16:51:46+00:00,0.34,11.18,154,154
2025-06-04 16:51:47+00:00,0.34,9.98,146,154
2025-06-04 16:51:48+00:00,0.34,7.64,138,155
2025-06-04 16:51:49+00:00,0.34,11.18,130,155
2025-06-04 16:51:50+00:00,0.34,15.94,126,155
2025-06-04 16:51:51+00:00,0.35,18.08,126,155
2025-06-04 16:51:52+00:00,0.35,12.69,116,154
2025-06-04 16:51:53+00:00,0.35,6.63,116,154
2025-06-04 16:51:54+00:00,0.35,5.23,116,153
2025-06-04 16:51:55+00:00,0.36,5.71,122,152
2025-06-04 16:51:56+00:00,0.36,5.71,126,152
2025-06-04 16:51:57+00:00,0.36,6.05,132,152
2025-06-04 16:52:35+00:00,0.46,10.05,160,156
2025-06-04 16:53:35+00:00,0.62,10.14,156,157
2025-06-04 16:53:50+00:00,0.65,9.97,158,163
2025-06-04 16:55:31+00:00,0.93,10.69,158,169
2025-06-04 16:55:32+00:00,0.93,10.92,152,169
2025-06-04 16:55:33+00:00,0.93,10.72,146,169
2025-06-04 16:55:34+00:00,0.94,11.69,140,169
2025-06-04 16:55:35+00:00,0.94,7.35,136,169
2025-06-04 16:55:36+00:00,0.94,8.96,132,169
2025-06-04 16:55:37+00:00,0.94,10.52,128,169
2025-06-04 16:55:38+00:00,0.94,7.51,122,169
2025-06-04 16:55:39+00:00,0.95,9.85,118,168
2025-06-04 16:55:40+00:00,0.95,9.77,118,167
2025-06-04 16:55:41+00:00,0.95,9.57,114,167
2025-06-04 16:55:42+00:00,0.95,13.12,110,166
2025-06-04 16:55:43+00:00,0.95,11.98,110,166
2025-06-04 16:55:44+00:00,0.95,11.98,110,165
2025-06-04 16:55:45+00:00,0.95,13.49,108,165
2025-06-04 16:55:46+00:00,0.96,7.43,108,164
2025-06-04 16:55:47+00:00,0.96,8.23,108,163
2025-06-04 16:55:48+00:00,0.96,10.12,108,163
2025-06-04 16:55:49+00:00,0.96,14.01,108,162
2025-06-04 16:55:50+00:00,0.96,14.01,106,162
2025-06-04 16:55:51+00:00,0.96,10.09,108,162
2025-06-04 16:55:52+00:00,0.96,13.95,106,161
2025-06-04 16:55:53+00:00,0.97,10.89,108,160
2025-06-04 16:55:54+00:00,0.97,9.13,106,158
2025-06-04 16:55:55+00:00,0.97,12.10,106,157
2025-06-04 16:55:56+00:00,0.97,13.95,106,157
2025-06-04 16:55:57+00:00,0.97,10.47,106,157
2025-06-04 16:55:58+00:00,0.97,12.82,106,157
2025-06-04 16:55:59+00:00,0.98,12.59,106,156
2025-06-04 16:56:00+00:00,0.98,10.09,106,157
2025-06-04 16:56:01+00:00,0.98,11.10,106,157
2025-06-04 16:56:02+00:00,0.98,15.10,106,157
2025-06-04 16:56:03+00:00,0.98,11.98,106,157
2025-06-04 16:56:04+00:00,0.98,12.82,106,156
2025-06-04 16:56:05+00:00,0.98,18.21,106,156
2025-06-04 16:56:06+00:00,0.98,10.03,106,155
2025-06-04 16:56:07+00:00,0.99,10.71,106,154
2025-06-04 16:56:08+00:00,0.99,13.77,106,152
2025-06-04 16:56:09+00:00,0.99,9.57,106,151
2025-06-04 16:56:10+00:00,0.99,16.46,106,149
2025-06-04 16:56:11+00:00,0.99,10.09,106,148
2025-06-04 16:56:12+00:00,0.99,12.96,106,147
2025-06-04 16:56:13+00:00,0.99,16.46,106,146
2025-06-04 16:56:14+00:00,1.00,13.01,106,145
2025-06-04 16:56:15+00:00,1.00,12.96,106,144
2025-06-04 16:56:16+00:00,1.00,10.12,106,144
2025-06-04 16:56:17+00:00,1.00,8.67,106,144
2025-06-04 16:56:18+00:00,1.00,12.69,106,144
2025-06-04 16:56:19+00:00,1.00,9.92,106,144
2025-06-04 16:56:20+00:00,1.00,9.59,106,143
2025-06-04 16:56:21+00:00,1.01,9.04,106,143
2025-06-04 16:56:22+00:00,1.01,7.87,106,143
2025-06-04 16:56:23+00:00,1.01,9.41,106,143
2025-06-04 16:56:24+00:00,1.01,10.89,108,143
2025-06-04 16:56:25+00:00,1.01,7.91,108,143
2025-06-04 16:56:26+00:00,1.02,15.72,108,143
2025-06-04 16:56:27+00:00,1.02,12.59,108,143
2025-06-04 16:56:28+00:00,1.02,10.60,108,143
2025-06-04 16:56:29+00:00,1.02,10.12,108,143
2025-06-04 16:56:30+00:00,1.02,12.96,110,143
2025-06-04 16:56:31+00:00,1.02,9.04,110,143
2025-06-04 16:56:32+00:00,1.02,10.47,110,142
