timestamp,distance_cumulative_km,pace_min_per_km,cadence,heart_rate
2025-06-05 18:08:18+00:00,,2.25,90,95
2025-06-05 18:08:19+00:00,0.01,2.25,90,95
2025-06-05 18:08:20+00:00,0.01,3.77,92,93
2025-06-05 18:08:21+00:00,0.02,2.83,92,94
2025-06-05 18:08:22+00:00,0.04,0.85,92,95
2025-06-05 18:08:23+00:00,0.04,3.41,92,95
2025-06-05 18:08:24+00:00,0.04,11.93,96,96
2025-06-05 18:08:25+00:00,0.05,9.51,98,97
2025-06-05 18:08:26+00:00,0.05,7.03,110,97
2025-06-05 18:08:27+00:00,0.05,7.15,114,98
2025-06-05 18:08:28+00:00,0.05,8.61,120,99
2025-06-05 18:08:29+00:00,0.05,7.87,126,98
2025-06-05 18:08:46+00:00,0.09,10.71,154,135
2025-06-05 18:08:56+00:00,0.11,10.47,154,139
2025-06-05 18:10:56+00:00,0.42,10.71,150,167
2025-06-05 18:10:57+00:00,0.42,11.98,144,168
2025-06-05 18:10:58+00:00,0.43,10.47,140,168
2025-06-05 18:10:59+00:00,0.43,10.47,134,168
2025-06-05 18:11:00+00:00,0.43,11.25,128,169
2025-06-05 18:11:01+00:00,0.43,20.05,124,169
2025-06-05 18:11:02+00:00,0.43,13.95,124,170
2025-06-05 18:11:03+00:00,0.43,20.23,118,170
2025-06-05 18:11:04+00:00,0.43,15.14,114,171
2025-06-05 18:11:05+00:00,0.43,10.89,110,171
2025-06-05 18:11:06+00:00,0.44,13.77,108,171
2025-06-05 18:11:07+00:00,0.44,10.23,106,171
2025-06-05 18:11:08+00:00,0.44,10.92,104,170
2025-06-05 18:11:09+00:00,0.44,10.03,104,169
2025-06-05 18:11:10+00:00,0.44,12.59,104,169
2025-06-05 18:11:11+00:00,0.44,11.80,104,168
2025-06-05 18:11:12+00:00,0.44,11.98,104,167
2025-06-05 18:11:13+00:00,0.45,12.82,104,167
2025-06-05 18:11:14+00:00,0.45,11.98,106,166
2025-06-05 18:11:15+00:00,0.45,9.51,106,166
2025-06-05 18:11:16+00:00,0.45,9.92,106,165
2025-06-05 18:11:17+00:00,0.45,10.47,106,165
2025-06-05 18:11:18+00:00,0.45,9.51,106,164
2025-06-05 18:11:19+00:00,0.46,10.68,106,163
2025-06-05 18:11:20+00:00,0.46,13.77,106,163
2025-06-05 18:11:21+00:00,0.46,13.49,106,163
2025-06-05 18:11:22+00:00,0.46,13.49,106,163
2025-06-05 18:11:23+00:00,0.46,11.98,106,163
2025-06-05 18:11:24+00:00,0.46,10.60,106,163
2025-06-05 18:11:25+00:00,0.46,9.04,106,162
2025-06-05 18:11:26+00:00,0.47,10.60,106,162
2025-06-05 18:11:27+00:00,0.47,10.71,104,162
2025-06-05 18:11:28+00:00,0.47,9.92,104,162
2025-06-05 18:11:29+00:00,0.47,12.14,104,162
2025-06-05 18:11:30+00:00,0.47,11.10,104,161
2025-06-05 18:11:31+00:00,0.47,15.10,104,161
2025-06-05 18:11:32+00:00,0.47,15.18,102,161
2025-06-05 18:11:33+00:00,0.48,15.10,102,160
2025-06-05 18:11:34+00:00,0.48,12.10,102,160
2025-06-05 18:11:35+00:00,0.48,12.96,102,160
2025-06-05 18:11:36+00:00,0.48,12.14,102,159
2025-06-05 18:11:37+00:00,0.48,13.12,102,159
2025-06-05 18:11:38+00:00,0.48,12.14,102,159
2025-06-05 18:11:39+00:00,0.48,7.55,102,159
2025-06-05 18:11:40+00:00,0.49,20.71,102,159
2025-06-05 18:11:41+00:00,0.49,10.99,102,159
2025-06-05 18:11:42+00:00,0.49,9.81,102,159
2025-06-05 18:11:43+00:00,0.49,8.90,102,159
2025-06-05 18:11:44+00:00,0.49,8.54,102,158
2025-06-05 18:11:45+00:00,0.49,7.58,102,157
2025-06-05 18:11:46+00:00,0.50,8.66,106,157
2025-06-05 18:11:47+00:00,0.50,6.27,108,156
2025-06-05 18:11:48+00:00,0.50,6.19,112,155
2025-06-05 18:11:49+00:00,0.50,5.86,122,155
2025-06-05 18:11:50+00:00,0.51,6.07,126,155
2025-06-05 18:11:51+00:00,0.51,5.76,132,154
2025-06-05 18:12:31+00:00,0.65,10.68,158,172
2025-06-05 18:12:33+00:00,0.65,9.58,142,172
2025-06-05 18:12:34+00:00,0.65,14.07,142,172
2025-06-05 18:12:35+00:00,0.66,25.63,132,172
2025-06-05 18:12:36+00:00,0.66,91.05,132,172
2025-06-05 18:12:37+00:00,0.66,38.58,0,171
2025-06-05 18:12:38+00:00,0.66,149.89,0,170
2025-06-05 18:12:39+00:00,0.66,115.73,0,169
2025-06-05 18:12:40+00:00,0.66,,0,168
2025-06-05 18:12:41+00:00,0.66,182.11,0,167
2025-06-05 18:12:42+00:00,0.66,,0,167
2025-06-05 18:12:43+00:00,0.66,74.94,0,167
2025-06-05 18:12:44+00:00,0.66,149.89,0,167
2025-06-05 18:12:45+00:00,0.66,182.11,0,167
2025-06-05 18:12:46+00:00,0.66,182.11,0,167
2025-06-05 18:12:47+00:00,0.66,,0,166
2025-06-05 18:12:48+00:00,0.66,,0,166
2025-06-05 18:12:49+00:00,0.66,,0,166
2025-06-05 18:12:50+00:00,0.66,,0,165
2025-06-05 18:12:51+00:00,0.66,,0,164
2025-06-05 18:12:52+00:00,0.66,,0,163
2025-06-05 18:12:53+00:00,0.66,,0,162
2025-06-05 18:12:54+00:00,0.66,43.56,0,162
2025-06-05 18:16:24+00:00,1.27,47.67,0,160
2025-06-05 18:16:25+00:00,1.27,74.94,92,160
2025-06-05 18:16:26+00:00,1.27,69.30,108,160
2025-06-05 18:16:27+00:00,1.27,9.29,136,159
2025-06-05 18:16:33+00:00,1.29,9.69,154,156
2025-06-05 18:16:35+00:00,1.30,10.02,138,158
2025-06-05 18:16:36+00:00,1.30,7.78,132,158
2025-06-05 18:16:37+00:00,1.30,5.56,130,157
2025-06-05 18:16:38+00:00,1.30,4.78,128,156
2025-06-05 18:16:39+00:00,1.31,3.56,128,156
2025-06-05 18:16:40+00:00,1.31,5.46,130,156
2025-06-05 18:16:41+00:00,1.32,3.80,136,156
2025-06-05 18:25:22+00:00,3.10,32.85,110,160
2025-06-05 18:25:23+00:00,3.10,7.08,126,160
2025-06-05 18:32:16+00:00,4.43,16.89,0,147
2025-06-05 18:32:17+00:00,4.43,,0,147
2025-06-05 18:32:32+00:00,4.43,303.51,0,146
2025-06-05 18:32:33+00:00,4.43,36.42,150,145
2025-06-05 18:32:34+00:00,4.43,91.05,122,145
2025-06-05 18:32:35+00:00,4.43,35.39,124,145
2025-06-05 18:36:57+00:00,5.12,40.05,0,133
